angle_degrees,distance_meters,quality
3.594218750000000000e+02,9.164999999999999813e-01,4.000000000000000000e+01
2.031250000000000000e-01,9.244999999999999885e-01,4.200000000000000000e+01
1.000000000000000000e+00,9.280000000000000471e-01,4.200000000000000000e+01
1.796875000000000000e+00,9.327499999999999680e-01,4.100000000000000000e+01
2.593750000000000000e+00,9.377499999999999725e-01,4.300000000000000000e+01
3.375000000000000000e+00,9.415000000000000036e-01,4.300000000000000000e+01
4.171875000000000000e+00,9.449999999999999512e-01,4.300000000000000000e+01
4.984375000000000000e+00,9.489999999999999547e-01,4.300000000000000000e+01
5.781250000000000000e+00,9.532500000000000417e-01,4.300000000000000000e+01
6.578125000000000000e+00,9.572500000000000453e-01,4.500000000000000000e+01
7.375000000000000000e+00,9.589999999999999636e-01,4.200000000000000000e+01
8.140625000000000000e+00,9.632500000000000506e-01,4.200000000000000000e+01
8.937500000000000000e+00,9.702499999999999458e-01,4.300000000000000000e+01
9.718750000000000000e+00,9.765000000000000346e-01,4.200000000000000000e+01
1.051562500000000000e+01,9.825000000000000400e-01,4.200000000000000000e+01
1.153125000000000000e+01,9.879999999999999893e-01,4.300000000000000000e+01
1.237500000000000000e+01,9.935000000000000497e-01,4.200000000000000000e+01
1.321875000000000000e+01,9.992499999999999716e-01,4.100000000000000000e+01
1.712500000000000000e+01,9.322500000000000231e-01,3.600000000000000000e+01
1.795312500000000000e+01,9.202500000000000124e-01,3.800000000000000000e+01
1.876562500000000000e+01,9.140000000000000346e-01,3.900000000000000000e+01
1.956250000000000000e+01,9.120000000000000329e-01,4.000000000000000000e+01
2.037500000000000000e+01,9.122500000000000053e-01,3.800000000000000000e+01
2.115625000000000000e+01,9.190000000000000391e-01,3.900000000000000000e+01
2.195312500000000000e+01,9.294999999999999929e-01,4.000000000000000000e+01
2.275000000000000000e+01,9.419999999999999485e-01,4.200000000000000000e+01
2.354687500000000000e+01,9.545000000000000151e-01,4.700000000000000000e+01
3.000000000000000000e+01,4.919999999999999929e-01,2.900000000000000000e+01
3.064062500000000000e+01,4.789999999999999813e-01,3.200000000000000000e+01
3.140625000000000000e+01,4.685000000000000275e-01,3.500000000000000000e+01
3.217187500000000000e+01,4.630000000000000226e-01,3.800000000000000000e+01
3.293750000000000000e+01,4.595000000000000195e-01,4.000000000000000000e+01
3.379687500000000000e+01,4.545000000000000151e-01,4.200000000000000000e+01
3.459375000000000000e+01,4.510000000000000120e-01,4.300000000000000000e+01
3.537500000000000000e+01,4.495000000000000107e-01,4.300000000000000000e+01
3.617187500000000000e+01,4.487499999999999822e-01,4.400000000000000000e+01
3.696875000000000000e+01,4.475000000000000089e-01,4.500000000000000000e+01
3.776562500000000000e+01,4.465000000000000080e-01,4.600000000000000000e+01
3.854687500000000000e+01,4.462499999999999800e-01,4.500000000000000000e+01
3.934375000000000000e+01,4.472499999999999809e-01,4.600000000000000000e+01
4.015625000000000000e+01,4.490000000000000102e-01,4.600000000000000000e+01
4.095312500000000000e+01,4.507499999999999840e-01,4.600000000000000000e+01
4.175000000000000000e+01,4.515000000000000124e-01,4.500000000000000000e+01
4.254687500000000000e+01,4.542499999999999871e-01,4.300000000000000000e+01
4.332812500000000000e+01,4.587499999999999911e-01,4.000000000000000000e+01
4.412500000000000000e+01,4.642499999999999960e-01,3.800000000000000000e+01
4.490625000000000000e+01,4.712500000000000022e-01,3.500000000000000000e+01
4.570312500000000000e+01,4.779999999999999805e-01,3.200000000000000000e+01
4.653125000000000000e+01,4.867500000000000160e-01,3.000000000000000000e+01
4.732812500000000000e+01,4.987500000000000266e-01,2.800000000000000000e+01
5.168750000000000000e+01,8.137499999999999734e-01,2.800000000000000000e+01
5.254687500000000000e+01,8.054999999999999938e-01,3.300000000000000000e+01
5.317187500000000000e+01,8.047499999999999654e-01,3.500000000000000000e+01
5.396875000000000000e+01,8.050000000000000488e-01,3.500000000000000000e+01
5.476562500000000000e+01,8.044999999999999929e-01,3.500000000000000000e+01
5.556250000000000000e+01,8.070000000000000506e-01,3.500000000000000000e+01
5.639062500000000000e+01,8.102500000000000258e-01,2.800000000000000000e+01
5.720312500000000000e+01,8.129999999999999449e-01,3.200000000000000000e+01
5.800000000000000000e+01,8.157499999999999751e-01,3.300000000000000000e+01
5.881250000000000000e+01,8.205000000000000071e-01,3.400000000000000000e+01
