angle_degrees,distance_meters,quality
3.599843750000000000e+02,3.387499999999999956e-01,4.600000000000000000e+01
8.281250000000000000e-01,3.392499999999999960e-01,4.600000000000000000e+01
1.656250000000000000e+00,3.392499999999999960e-01,4.500000000000000000e+01
2.500000000000000000e+00,3.392499999999999960e-01,4.300000000000000000e+01
3.359375000000000000e+00,3.397499999999999964e-01,4.200000000000000000e+01
4.203125000000000000e+00,3.402499999999999969e-01,4.400000000000000000e+01
5.046875000000000000e+00,3.395000000000000240e-01,4.500000000000000000e+01
5.890625000000000000e+00,3.385000000000000231e-01,5.000000000000000000e+01
6.718750000000000000e+00,3.397499999999999964e-01,5.100000000000000000e+01
7.562500000000000000e+00,3.407499999999999973e-01,5.000000000000000000e+01
8.390625000000000000e+00,3.410000000000000253e-01,5.000000000000000000e+01
9.234375000000000000e+00,3.407499999999999973e-01,4.500000000000000000e+01
1.090625000000000000e+01,9.645000000000000240e-01,3.500000000000000000e+01
1.173437500000000000e+01,9.785000000000000364e-01,4.100000000000000000e+01
1.257812500000000000e+01,9.875000000000000444e-01,4.100000000000000000e+01
1.370312500000000000e+01,9.947500000000000231e-01,4.300000000000000000e+01
1.968750000000000000e+01,9.147499999999999520e-01,3.800000000000000000e+01
2.053125000000000000e+01,9.084999999999999742e-01,4.000000000000000000e+01
2.139062500000000000e+01,9.107499999999999485e-01,4.400000000000000000e+01
2.223437500000000000e+01,9.124999999999999778e-01,4.300000000000000000e+01
2.309375000000000000e+01,9.162500000000000089e-01,3.900000000000000000e+01
2.393750000000000000e+01,9.290000000000000480e-01,4.300000000000000000e+01
2.479687500000000000e+01,9.425000000000000044e-01,4.300000000000000000e+01
2.564062500000000000e+01,9.399999999999999467e-01,3.900000000000000000e+01
3.142187500000000000e+01,4.854999999999999871e-01,3.000000000000000000e+01
3.223437500000000000e+01,4.759999999999999787e-01,3.300000000000000000e+01
3.304687500000000000e+01,4.682499999999999996e-01,3.700000000000000000e+01
3.398437500000000000e+01,4.630000000000000226e-01,3.900000000000000000e+01
3.482812500000000000e+01,4.592499999999999916e-01,4.200000000000000000e+01
3.567187500000000000e+01,4.552499999999999880e-01,4.300000000000000000e+01
3.651562500000000000e+01,4.522499999999999853e-01,4.300000000000000000e+01
3.737500000000000000e+01,4.505000000000000115e-01,4.500000000000000000e+01
3.821875000000000000e+01,4.485000000000000098e-01,4.500000000000000000e+01
3.906250000000000000e+01,4.475000000000000089e-01,4.600000000000000000e+01
3.990625000000000000e+01,4.482499999999999818e-01,4.600000000000000000e+01
4.075000000000000000e+01,4.490000000000000102e-01,4.500000000000000000e+01
4.159375000000000000e+01,4.502499999999999836e-01,4.600000000000000000e+01
4.243750000000000000e+01,4.522499999999999853e-01,4.500000000000000000e+01
4.328125000000000000e+01,4.557499999999999885e-01,4.400000000000000000e+01
4.414062500000000000e+01,4.595000000000000195e-01,4.300000000000000000e+01
4.498437500000000000e+01,4.632499999999999951e-01,4.000000000000000000e+01
4.582812500000000000e+01,4.697500000000000009e-01,3.700000000000000000e+01
4.667187500000000000e+01,4.762500000000000067e-01,3.300000000000000000e+01
4.776562500000000000e+01,4.857500000000000151e-01,3.100000000000000000e+01
4.867187500000000000e+01,4.974999999999999978e-01,2.900000000000000000e+01
5.289062500000000000e+01,8.010000000000000453e-01,3.200000000000000000e+01
5.375000000000000000e+01,8.022500000000000187e-01,3.500000000000000000e+01
5.462500000000000000e+01,8.030000000000000471e-01,3.500000000000000000e+01
5.548437500000000000e+01,8.052500000000000213e-01,3.600000000000000000e+01
5.634375000000000000e+01,8.084999999999999964e-01,3.500000000000000000e+01
5.804687500000000000e+01,3.147499999999999742e-01,2.700000000000000000e+01
6.060937500000000000e+01,8.369999999999999662e-01,3.000000000000000000e+01
6.146875000000000000e+01,8.409999999999999698e-01,3.100000000000000000e+01
6.232812500000000000e+01,8.477500000000000036e-01,3.200000000000000000e+01
6.317187500000000000e+01,8.557500000000000107e-01,3.200000000000000000e+01
6.403125000000000000e+01,8.645000000000000462e-01,3.100000000000000000e+01
6.490625000000000000e+01,8.732499999999999707e-01,3.200000000000000000e+01
6.576562500000000000e+01,8.852499999999999813e-01,3.000000000000000000e+01
6.662500000000000000e+01,9.022499999999999964e-01,3.000000000000000000e+01
6.748437500000000000e+01,9.140000000000000346e-01,4.100000000000000000e+01
6.839062500000000000e+01,9.237499999999999600e-01,4.200000000000000000e+01
6.926562500000000000e+01,9.244999999999999885e-01,4.000000000000000000e+01
7.012500000000000000e+01,9.162500000000000089e-01,1.900000000000000000e+01
7.182812500000000000e+01,6.085000000000000409e-01,2.700000000000000000e+01
7.354687500000000000e+01,9.184999999999999831e-01,3.700000000000000000e+01
7.440625000000000000e+01,9.222500000000000142e-01,3.500000000000000000e+01
7.526562500000000000e+01,9.212500000000000133e-01,2.900000000000000000e+01
7.784375000000000000e+01,5.789999999999999591e-01,3.400000000000000000e+01
7.870312500000000000e+01,5.895000000000000240e-01,3.300000000000000000e+01
7.956250000000000000e+01,6.015000000000000346e-01,3.500000000000000000e+01
8.042187500000000000e+01,6.125000000000000444e-01,1.100000000000000000e+01
8.214062500000000000e+01,9.665000000000000258e-01,1.600000000000000000e+01
8.637500000000000000e+01,9.030000000000000249e-01,2.900000000000000000e+01
8.721875000000000000e+01,9.020000000000000240e-01,2.200000000000000000e+01
8.806250000000000000e+01,9.060000000000000275e-01,1.900000000000000000e+01
8.895312500000000000e+01,9.220000000000000417e-01,2.500000000000000000e+01
9.151562500000000000e+01,4.475000000000000089e-01,1.800000000000000000e+01
9.410937500000000000e+01,3.477500000000000036e-01,6.000000000000000000e+00
9.581250000000000000e+01,3.107500000000000262e-01,3.000000000000000000e+00
1.080156250000000000e+02,4.299999999999999656e-02,3.800000000000000000e+01
1.088750000000000000e+02,4.150000000000000216e-02,3.900000000000000000e+01
1.097812500000000000e+02,4.000000000000000083e-02,3.800000000000000000e+01
1.106562500000000000e+02,3.975000000000000061e-02,3.900000000000000000e+01
1.123906250000000000e+02,3.874999999999999972e-02,4.100000000000000000e+01
1.132187500000000000e+02,3.975000000000000061e-02,4.300000000000000000e+01
1.157968750000000000e+02,4.574999999999999900e-02,4.800000000000000000e+01
1.167031250000000000e+02,4.599999999999999922e-02,4.900000000000000000e+01
1.175781250000000000e+02,4.574999999999999900e-02,5.000000000000000000e+01
1.184375000000000000e+02,4.649999999999999967e-02,5.100000000000000000e+01
1.193125000000000000e+02,4.674999999999999989e-02,5.000000000000000000e+01
1.200625000000000000e+02,4.624999999999999944e-02,5.000000000000000000e+01
1.209062500000000000e+02,4.549999999999999878e-02,5.000000000000000000e+01
1.217343750000000000e+02,4.524999999999999856e-02,5.000000000000000000e+01
1.244062500000000000e+02,4.624999999999999944e-02,5.100000000000000000e+01
1.252656250000000000e+02,4.549999999999999878e-02,5.100000000000000000e+01
1.261406250000000000e+02,4.549999999999999878e-02,5.200000000000000000e+01
1.278750000000000000e+02,4.850000000000000144e-02,5.300000000000000000e+01
1.287343750000000000e+02,4.850000000000000144e-02,5.300000000000000000e+01
1.296093750000000000e+02,4.775000000000000078e-02,5.300000000000000000e+01
1.304218750000000000e+02,4.700000000000000011e-02,5.300000000000000000e+01
1.321250000000000000e+02,4.324999999999999678e-02,5.100000000000000000e+01
1.347656250000000000e+02,3.749999999999999861e-02,4.700000000000000000e+01
1.356250000000000000e+02,3.649999999999999772e-02,4.700000000000000000e+01
1.365000000000000000e+02,3.599999999999999728e-02,4.700000000000000000e+01
1.384218750000000000e+02,3.774999999999999883e-02,4.800000000000000000e+01
1.393281250000000000e+02,3.749999999999999861e-02,4.900000000000000000e+01
1.410312500000000000e+02,3.899999999999999994e-02,5.000000000000000000e+01
1.419062500000000000e+02,3.899999999999999994e-02,5.100000000000000000e+01
1.436562500000000000e+02,4.150000000000000216e-02,5.300000000000000000e+01
1.445312500000000000e+02,4.150000000000000216e-02,5.400000000000000000e+01
1.462812500000000000e+02,4.299999999999999656e-02,5.600000000000000000e+01
1.471562500000000000e+02,4.250000000000000305e-02,5.600000000000000000e+01
1.480000000000000000e+02,4.299999999999999656e-02,5.700000000000000000e+01
1.488750000000000000e+02,4.250000000000000305e-02,5.700000000000000000e+01
1.506093750000000000e+02,4.349999999999999700e-02,5.800000000000000000e+01
1.515000000000000000e+02,4.299999999999999656e-02,5.800000000000000000e+01
1.523750000000000000e+02,4.349999999999999700e-02,5.800000000000000000e+01
1.532500000000000000e+02,4.349999999999999700e-02,5.800000000000000000e+01
1.541250000000000000e+02,4.299999999999999656e-02,5.800000000000000000e+01
1.549687500000000000e+02,4.299999999999999656e-02,5.800000000000000000e+01
1.558437500000000000e+02,4.275000000000000328e-02,5.700000000000000000e+01
1.567031250000000000e+02,4.225000000000000283e-02,5.700000000000000000e+01
1.575781250000000000e+02,4.225000000000000283e-02,5.700000000000000000e+01
1.585000000000000000e+02,4.275000000000000328e-02,5.700000000000000000e+01
1.593906250000000000e+02,4.250000000000000305e-02,5.700000000000000000e+01
1.602656250000000000e+02,4.225000000000000283e-02,5.700000000000000000e+01
1.611562500000000000e+02,4.275000000000000328e-02,5.600000000000000000e+01
1.620156250000000000e+02,4.299999999999999656e-02,5.500000000000000000e+01
1.637656250000000000e+02,4.050000000000000128e-02,5.400000000000000000e+01
1.646406250000000000e+02,4.125000000000000194e-02,5.300000000000000000e+01
1.655312500000000000e+02,4.125000000000000194e-02,5.200000000000000000e+01
1.664062500000000000e+02,3.975000000000000061e-02,5.000000000000000000e+01
1.681562500000000000e+02,3.400000000000000244e-02,4.700000000000000000e+01
1.707343750000000000e+02,2.925000000000000169e-02,4.500000000000000000e+01
1.733906250000000000e+02,2.500000000000000139e-02,4.300000000000000000e+01
1.742656250000000000e+02,2.525000000000000161e-02,4.200000000000000000e+01
1.778125000000000000e+02,2.900000000000000147e-02,4.500000000000000000e+01
1.787031250000000000e+02,2.900000000000000147e-02,4.400000000000000000e+01
1.803906250000000000e+02,2.599999999999999881e-02,4.300000000000000000e+01
1.812500000000000000e+02,2.549999999999999836e-02,4.300000000000000000e+01
1.821250000000000000e+02,2.475000000000000117e-02,4.300000000000000000e+01
1.830468750000000000e+02,2.450000000000000094e-02,4.200000000000000000e+01
1.839375000000000000e+02,2.475000000000000117e-02,4.200000000000000000e+01
1.857031250000000000e+02,2.299999999999999961e-02,4.000000000000000000e+01
1.865156250000000000e+02,2.324999999999999983e-02,4.000000000000000000e+01
1.873906250000000000e+02,2.299999999999999961e-02,4.000000000000000000e+01
1.900312500000000000e+02,2.649999999999999925e-02,4.300000000000000000e+01
1.947812500000000000e+02,3.549999999999999684e-02,4.800000000000000000e+01
1.957187500000000000e+02,3.599999999999999728e-02,4.900000000000000000e+01
1.966718750000000000e+02,3.649999999999999772e-02,4.900000000000000000e+01
1.973437500000000000e+02,3.699999999999999817e-02,5.000000000000000000e+01
1.982187500000000000e+02,3.724999999999999839e-02,4.900000000000000000e+01
1.990937500000000000e+02,3.749999999999999861e-02,5.000000000000000000e+01
1.999687500000000000e+02,3.774999999999999883e-02,4.900000000000000000e+01
2.026875000000000000e+02,3.774999999999999883e-02,5.000000000000000000e+01
2.044687500000000000e+02,4.075000000000000150e-02,5.100000000000000000e+01
2.053593750000000000e+02,4.100000000000000172e-02,5.200000000000000000e+01
2.062500000000000000e+02,4.025000000000000105e-02,5.100000000000000000e+01
2.079843750000000000e+02,4.100000000000000172e-02,5.100000000000000000e+01
2.088593750000000000e+02,4.075000000000000150e-02,5.200000000000000000e+01
2.097343750000000000e+02,4.150000000000000216e-02,5.200000000000000000e+01
2.106093750000000000e+02,4.200000000000000261e-02,5.200000000000000000e+01
2.114531250000000000e+02,4.175000000000000239e-02,5.200000000000000000e+01
2.123281250000000000e+02,4.175000000000000239e-02,5.300000000000000000e+01
2.131875000000000000e+02,4.225000000000000283e-02,5.300000000000000000e+01
