angle_degrees,distance_meters,quality
3.000468750000000000e+02,2.330000000000000127e-01,4.500000000000000000e+01
3.009062500000000000e+02,2.315000000000000113e-01,4.600000000000000000e+01
3.017656250000000000e+02,2.285000000000000087e-01,4.500000000000000000e+01
3.027187500000000000e+02,2.265000000000000069e-01,4.700000000000000000e+01
3.036093750000000000e+02,2.235000000000000042e-01,4.500000000000000000e+01
3.044843750000000000e+02,2.187500000000000000e-01,4.300000000000000000e+01
3.053750000000000000e+02,2.149999999999999967e-01,3.900000000000000000e+01
3.061875000000000000e+02,2.109999999999999931e-01,4.300000000000000000e+01
3.070625000000000000e+02,2.089999999999999913e-01,4.500000000000000000e+01
3.079218750000000000e+02,2.077499999999999902e-01,4.400000000000000000e+01
3.087968750000000000e+02,2.057499999999999885e-01,4.400000000000000000e+01
3.096406250000000000e+02,2.030000000000000138e-01,4.400000000000000000e+01
3.105000000000000000e+02,2.005000000000000115e-01,4.400000000000000000e+01
3.113593750000000000e+02,1.995000000000000107e-01,4.500000000000000000e+01
3.122187500000000000e+02,1.965000000000000080e-01,4.500000000000000000e+01
3.131093750000000000e+02,1.945000000000000062e-01,4.500000000000000000e+01
3.139843750000000000e+02,1.947500000000000064e-01,4.500000000000000000e+01
3.148437500000000000e+02,1.935000000000000053e-01,4.500000000000000000e+01
3.157187500000000000e+02,1.925000000000000044e-01,4.600000000000000000e+01
3.165781250000000000e+02,1.907500000000000029e-01,4.600000000000000000e+01
3.174531250000000000e+02,1.885000000000000009e-01,4.500000000000000000e+01
3.183125000000000000e+02,1.867499999999999993e-01,4.600000000000000000e+01
3.191875000000000000e+02,1.849999999999999978e-01,4.100000000000000000e+01
3.201093750000000000e+02,1.824999999999999956e-01,3.800000000000000000e+01
3.210000000000000000e+02,1.814999999999999947e-01,4.600000000000000000e+01
3.218750000000000000e+02,1.817499999999999949e-01,4.600000000000000000e+01
3.227656250000000000e+02,1.799999999999999933e-01,4.700000000000000000e+01
3.235937500000000000e+02,1.787499999999999922e-01,5.000000000000000000e+01
3.270625000000000000e+02,9.299999999999999933e-02,2.800000000000000000e+01
3.279375000000000000e+02,9.124999999999999778e-02,3.300000000000000000e+01
3.287968750000000000e+02,9.249999999999999889e-02,3.500000000000000000e+01
3.296718750000000000e+02,9.349999999999999978e-02,3.700000000000000000e+01
3.305468750000000000e+02,9.450000000000000067e-02,4.200000000000000000e+01
3.314218750000000000e+02,9.575000000000000178e-02,4.600000000000000000e+01
3.331562500000000000e+02,9.925000000000000488e-02,5.100000000000000000e+01
3.340156250000000000e+02,9.875000000000000444e-02,5.200000000000000000e+01
3.348906250000000000e+02,9.850000000000000422e-02,5.200000000000000000e+01
3.357500000000000000e+02,9.850000000000000422e-02,5.100000000000000000e+01
3.366250000000000000e+02,9.975000000000000533e-02,5.200000000000000000e+01
3.375937500000000000e+02,1.002500000000000058e-01,5.100000000000000000e+01
3.384843750000000000e+02,9.925000000000000488e-02,5.200000000000000000e+01
3.393750000000000000e+02,9.925000000000000488e-02,5.100000000000000000e+01
3.402656250000000000e+02,1.002500000000000058e-01,5.000000000000000000e+01
3.410781250000000000e+02,1.019999999999999934e-01,5.000000000000000000e+01
3.419531250000000000e+02,1.019999999999999934e-01,4.700000000000000000e+01
3.428125000000000000e+02,1.019999999999999934e-01,4.400000000000000000e+01
3.436875000000000000e+02,1.019999999999999934e-01,4.000000000000000000e+01
3.445781250000000000e+02,1.007500000000000062e-01,3.500000000000000000e+01
3.480781250000000000e+02,1.504999999999999949e-01,5.600000000000000000e+01
3.498281250000000000e+02,1.587500000000000022e-01,5.800000000000000000e+01
3.507031250000000000e+02,1.575000000000000011e-01,5.700000000000000000e+01
3.515781250000000000e+02,1.580000000000000016e-01,5.400000000000000000e+01
3.524531250000000000e+02,1.607500000000000040e-01,5.300000000000000000e+01
3.533281250000000000e+02,1.622500000000000053e-01,5.200000000000000000e+01
3.542031250000000000e+02,1.612500000000000044e-01,5.200000000000000000e+01
3.551250000000000000e+02,1.605000000000000038e-01,5.200000000000000000e+01
3.560156250000000000e+02,1.610000000000000042e-01,5.200000000000000000e+01
3.568906250000000000e+02,1.602500000000000036e-01,5.400000000000000000e+01
