angle_deg,distance_mm,quality
1.718750000000000000e-01,2.087500000000000000e+02,4.900000000000000000e+01
1.932187500000000000e+02,3.175000000000000000e+01,4.700000000000000000e+01
1.941093750000000000e+02,3.225000000000000000e+01,4.800000000000000000e+01
1.955781250000000000e+02,3.500000000000000000e+01,4.900000000000000000e+01
1.972031250000000000e+02,3.375000000000000000e+01,4.900000000000000000e+01
1.988125000000000000e+02,3.575000000000000000e+01,4.900000000000000000e+01
1.996250000000000000e+02,3.575000000000000000e+01,5.000000000000000000e+01
2.004218750000000000e+02,3.625000000000000000e+01,5.000000000000000000e+01
2.012343750000000000e+02,3.525000000000000000e+01,4.900000000000000000e+01
2.021093750000000000e+02,3.550000000000000000e+01,5.000000000000000000e+01
2.029375000000000000e+02,3.575000000000000000e+01,5.000000000000000000e+01
2.045781250000000000e+02,3.775000000000000000e+01,5.100000000000000000e+01
2.053437500000000000e+02,3.800000000000000000e+01,5.200000000000000000e+01
2.061562500000000000e+02,3.775000000000000000e+01,5.100000000000000000e+01
2.069531250000000000e+02,3.750000000000000000e+01,5.100000000000000000e+01
2.077656250000000000e+02,3.775000000000000000e+01,5.200000000000000000e+01
2.086250000000000000e+02,3.775000000000000000e+01,5.100000000000000000e+01
2.094531250000000000e+02,3.825000000000000000e+01,5.200000000000000000e+01
2.102656250000000000e+02,3.875000000000000000e+01,5.200000000000000000e+01
2.110937500000000000e+02,3.850000000000000000e+01,5.200000000000000000e+01
2.118906250000000000e+02,3.850000000000000000e+01,5.200000000000000000e+01
2.127031250000000000e+02,3.925000000000000000e+01,5.300000000000000000e+01
2.135156250000000000e+02,3.950000000000000000e+01,5.300000000000000000e+01
2.143281250000000000e+02,3.975000000000000000e+01,5.400000000000000000e+01
2.151250000000000000e+02,4.000000000000000000e+01,5.500000000000000000e+01
2.159375000000000000e+02,4.050000000000000000e+01,5.500000000000000000e+01
2.167343750000000000e+02,4.125000000000000000e+01,5.500000000000000000e+01
2.175468750000000000e+02,4.150000000000000000e+01,5.600000000000000000e+01
2.184062500000000000e+02,4.150000000000000000e+01,5.600000000000000000e+01
2.192343750000000000e+02,4.150000000000000000e+01,5.600000000000000000e+01
2.200468750000000000e+02,4.225000000000000000e+01,5.600000000000000000e+01
2.208750000000000000e+02,4.225000000000000000e+01,5.600000000000000000e+01
2.224843750000000000e+02,4.325000000000000000e+01,5.600000000000000000e+01
2.241093750000000000e+02,4.500000000000000000e+01,5.700000000000000000e+01
