angle_degrees,distance_meters,quality
5.625000000000000000e-01,4.612499999999999933e-01,4.400000000000000000e+01
1.048281250000000000e+02,5.700000000000000205e-02,5.300000000000000000e+01
1.056093750000000000e+02,5.625000000000000139e-02,5.400000000000000000e+01
1.062031250000000000e+02,5.525000000000000050e-02,5.400000000000000000e+01
1.069375000000000000e+02,5.424999999999999961e-02,5.300000000000000000e+01
1.076562500000000000e+02,5.424999999999999961e-02,5.300000000000000000e+01
1.098437500000000000e+02,4.850000000000000144e-02,5.000000000000000000e+01
1.105625000000000000e+02,4.750000000000000056e-02,5.000000000000000000e+01
1.112968750000000000e+02,4.725000000000000033e-02,5.000000000000000000e+01
1.127187500000000000e+02,4.524999999999999856e-02,5.000000000000000000e+01
1.134375000000000000e+02,4.449999999999999789e-02,4.900000000000000000e+01
1.149218750000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.156562500000000000e+02,4.100000000000000172e-02,4.900000000000000000e+01
1.163750000000000000e+02,4.150000000000000216e-02,4.800000000000000000e+01
1.171093750000000000e+02,4.175000000000000239e-02,4.800000000000000000e+01
1.178437500000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.185781250000000000e+02,4.050000000000000128e-02,4.900000000000000000e+01
1.192968750000000000e+02,4.050000000000000128e-02,4.900000000000000000e+01
1.200312500000000000e+02,4.050000000000000128e-02,4.900000000000000000e+01
1.214531250000000000e+02,4.250000000000000305e-02,5.000000000000000000e+01
1.221718750000000000e+02,4.175000000000000239e-02,5.000000000000000000e+01
1.236562500000000000e+02,4.374999999999999722e-02,5.100000000000000000e+01
1.243906250000000000e+02,4.374999999999999722e-02,5.100000000000000000e+01
1.251093750000000000e+02,4.374999999999999722e-02,5.200000000000000000e+01
1.258437500000000000e+02,4.275000000000000328e-02,5.200000000000000000e+01
1.265781250000000000e+02,4.299999999999999656e-02,5.200000000000000000e+01
1.280312500000000000e+02,4.150000000000000216e-02,5.000000000000000000e+01
1.331250000000000000e+02,2.425000000000000072e-02,4.100000000000000000e+01
1.338437500000000000e+02,2.375000000000000028e-02,4.000000000000000000e+01
1.352812500000000000e+02,2.500000000000000139e-02,4.200000000000000000e+01
1.360000000000000000e+02,2.549999999999999836e-02,4.300000000000000000e+01
1.374375000000000000e+02,2.800000000000000058e-02,4.400000000000000000e+01
1.392812500000000000e+02,3.024999999999999911e-02,4.500000000000000000e+01
1.408750000000000000e+02,3.425000000000000266e-02,4.800000000000000000e+01
1.414531250000000000e+02,3.450000000000000289e-02,5.000000000000000000e+01
1.422031250000000000e+02,3.475000000000000311e-02,5.100000000000000000e+01
1.429375000000000000e+02,3.599999999999999728e-02,5.200000000000000000e+01
1.443750000000000000e+02,3.925000000000000017e-02,5.400000000000000000e+01
1.451093750000000000e+02,3.899999999999999994e-02,5.500000000000000000e+01
1.458281250000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.465625000000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.473437500000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.480937500000000000e+02,3.774999999999999883e-02,5.700000000000000000e+01
1.488281250000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.495781250000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.503125000000000000e+02,3.724999999999999839e-02,5.700000000000000000e+01
1.510625000000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.517968750000000000e+02,3.824999999999999928e-02,5.800000000000000000e+01
1.532500000000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.539843750000000000e+02,3.824999999999999928e-02,5.700000000000000000e+01
1.547187500000000000e+02,3.849999999999999950e-02,5.600000000000000000e+01
1.554531250000000000e+02,3.874999999999999972e-02,5.600000000000000000e+01
1.563437500000000000e+02,3.950000000000000039e-02,5.500000000000000000e+01
1.578906250000000000e+02,3.849999999999999950e-02,5.400000000000000000e+01
1.593281250000000000e+02,3.624999999999999750e-02,5.100000000000000000e+01
1.615625000000000000e+02,2.974999999999999867e-02,4.600000000000000000e+01
1.622343750000000000e+02,2.900000000000000147e-02,4.400000000000000000e+01
1.644218750000000000e+02,2.224999999999999895e-02,3.900000000000000000e+01
1.652187500000000000e+02,2.174999999999999850e-02,3.700000000000000000e+01
1.659687500000000000e+02,2.174999999999999850e-02,3.500000000000000000e+01
1.682031250000000000e+02,2.224999999999999895e-02,3.000000000000000000e+01
1.733593750000000000e+02,2.174999999999999850e-02,2.700000000000000000e+01
1.757656250000000000e+02,2.224999999999999895e-02,2.900000000000000000e+01
1.779218750000000000e+02,2.149999999999999828e-02,3.100000000000000000e+01
1.786562500000000000e+02,2.100000000000000130e-02,3.100000000000000000e+01
1.793906250000000000e+02,2.100000000000000130e-02,3.100000000000000000e+01
1.839062500000000000e+02,2.075000000000000108e-02,3.400000000000000000e+01
1.868906250000000000e+02,2.050000000000000086e-02,3.600000000000000000e+01
1.876250000000000000e+02,2.100000000000000130e-02,3.700000000000000000e+01
1.883750000000000000e+02,2.075000000000000108e-02,4.000000000000000000e+01
1.898593750000000000e+02,2.500000000000000139e-02,4.300000000000000000e+01
1.913437500000000000e+02,3.099999999999999978e-02,4.800000000000000000e+01
1.940937500000000000e+02,3.724999999999999839e-02,5.200000000000000000e+01
1.969375000000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.976875000000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.985000000000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
1.992656250000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.000312500000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.015000000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.022500000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.030000000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.037500000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.045468750000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
2.053125000000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.060625000000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.068281250000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.091093750000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.098750000000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.105937500000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.113437500000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.128437500000000000e+02,3.874999999999999972e-02,5.800000000000000000e+01
2.135937500000000000e+02,3.824999999999999928e-02,5.900000000000000000e+01
2.143437500000000000e+02,3.774999999999999883e-02,5.900000000000000000e+01
2.150937500000000000e+02,3.699999999999999817e-02,5.900000000000000000e+01
2.158437500000000000e+02,3.699999999999999817e-02,5.900000000000000000e+01
2.174062500000000000e+02,3.475000000000000311e-02,5.800000000000000000e+01
