angle_degrees,distance_meters,quality
1.875000000000000000e-01,9.632500000000000506e-01,2.800000000000000000e+01
1.724375000000000000e+02,2.174999999999999850e-02,2.800000000000000000e+01
1.741406250000000000e+02,2.274999999999999939e-02,2.900000000000000000e+01
1.749687500000000000e+02,2.224999999999999895e-02,2.900000000000000000e+01
1.773593750000000000e+02,2.025000000000000064e-02,3.200000000000000000e+01
1.781718750000000000e+02,2.000000000000000042e-02,3.300000000000000000e+01
1.789687500000000000e+02,2.000000000000000042e-02,3.300000000000000000e+01
1.797812500000000000e+02,2.025000000000000064e-02,3.300000000000000000e+01
1.805625000000000000e+02,2.000000000000000042e-02,3.400000000000000000e+01
1.813593750000000000e+02,2.025000000000000064e-02,3.500000000000000000e+01
1.821562500000000000e+02,2.025000000000000064e-02,3.500000000000000000e+01
1.829531250000000000e+02,2.050000000000000086e-02,3.600000000000000000e+01
1.837812500000000000e+02,2.025000000000000064e-02,3.600000000000000000e+01
1.862031250000000000e+02,2.000000000000000042e-02,3.800000000000000000e+01
1.870156250000000000e+02,2.100000000000000130e-02,3.700000000000000000e+01
1.878281250000000000e+02,2.199999999999999872e-02,3.800000000000000000e+01
1.886250000000000000e+02,2.224999999999999895e-02,4.100000000000000000e+01
1.917968750000000000e+02,3.325000000000000178e-02,4.800000000000000000e+01
1.937656250000000000e+02,3.799999999999999906e-02,5.200000000000000000e+01
1.955468750000000000e+02,4.025000000000000105e-02,5.500000000000000000e+01
1.964375000000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
1.970468750000000000e+02,4.075000000000000150e-02,5.700000000000000000e+01
1.978750000000000000e+02,4.050000000000000128e-02,5.700000000000000000e+01
1.986875000000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.002812500000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.010937500000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.018906250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.027031250000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.035625000000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.043906250000000000e+02,3.874999999999999972e-02,5.800000000000000000e+01
2.052031250000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.068437500000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.076718750000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.084843750000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.093125000000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.100468750000000000e+02,4.175000000000000239e-02,5.800000000000000000e+01
2.108437500000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.116406250000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.124375000000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.133281250000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.141562500000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.149687500000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.157968750000000000e+02,3.749999999999999861e-02,5.800000000000000000e+01
2.166093750000000000e+02,3.624999999999999750e-02,5.800000000000000000e+01
2.174375000000000000e+02,3.574999999999999706e-02,5.800000000000000000e+01
2.182500000000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.190781250000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.198437500000000000e+02,3.624999999999999750e-02,5.900000000000000000e+01
2.214531250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.231093750000000000e+02,4.125000000000000194e-02,5.700000000000000000e+01
2.239218750000000000e+02,4.175000000000000239e-02,5.700000000000000000e+01
2.247343750000000000e+02,4.200000000000000261e-02,5.500000000000000000e+01
2.255468750000000000e+02,4.250000000000000305e-02,5.500000000000000000e+01
2.263593750000000000e+02,4.349999999999999700e-02,5.400000000000000000e+01
2.271718750000000000e+02,4.374999999999999722e-02,5.400000000000000000e+01
2.279843750000000000e+02,4.449999999999999789e-02,5.400000000000000000e+01
2.297343750000000000e+02,4.750000000000000056e-02,5.300000000000000000e+01
2.305781250000000000e+02,4.750000000000000056e-02,5.300000000000000000e+01
2.322656250000000000e+02,4.424999999999999767e-02,5.000000000000000000e+01
2.330156250000000000e+02,4.349999999999999700e-02,4.900000000000000000e+01
2.354843750000000000e+02,3.749999999999999861e-02,4.300000000000000000e+01
2.378906250000000000e+02,4.599999999999999922e-02,4.800000000000000000e+01
2.387031250000000000e+02,4.700000000000000011e-02,4.900000000000000000e+01
2.436406250000000000e+02,3.325000000000000178e-02,4.300000000000000000e+01
2.444531250000000000e+02,3.425000000000000266e-02,4.200000000000000000e+01
2.452656250000000000e+02,3.524999999999999661e-02,4.100000000000000000e+01
2.461562500000000000e+02,3.500000000000000333e-02,3.800000000000000000e+01
2.469843750000000000e+02,3.524999999999999661e-02,3.200000000000000000e+01
2.478125000000000000e+02,3.524999999999999661e-02,2.800000000000000000e+01
2.502343750000000000e+02,3.950000000000000039e-02,2.000000000000000000e+01
2.510468750000000000e+02,3.950000000000000039e-02,1.700000000000000000e+01
2.535625000000000000e+02,6.165000000000000480e-01,2.100000000000000000e+01
2.552187500000000000e+02,6.722500000000000142e-01,2.600000000000000000e+01
2.568437500000000000e+02,7.467500000000000249e-01,3.100000000000000000e+01
2.576562500000000000e+02,7.479999999999999982e-01,3.300000000000000000e+01
2.584843750000000000e+02,7.477500000000000258e-01,3.400000000000000000e+01
2.592968750000000000e+02,7.489999999999999991e-01,3.600000000000000000e+01
2.625781250000000000e+02,5.797499999999999876e-01,3.000000000000000000e+01
2.650468750000000000e+02,5.277500000000000524e-01,3.500000000000000000e+01
2.660625000000000000e+02,5.220000000000000195e-01,3.900000000000000000e+01
2.669375000000000000e+02,5.202499999999999902e-01,3.900000000000000000e+01
2.677968750000000000e+02,5.222499999999999920e-01,3.100000000000000000e+01
2.693593750000000000e+02,5.877499999999999947e-01,4.000000000000000000e+01
2.701875000000000000e+02,5.819999999999999618e-01,3.900000000000000000e+01
