angle_degrees,distance_meters,quality
3.542968750000000000e+02,1.827499999999999958e-01,5.200000000000000000e+01
2.695937500000000000e+02,3.967499999999999916e-01,4.200000000000000000e+01
2.704531250000000000e+02,3.967499999999999916e-01,4.100000000000000000e+01
2.713281250000000000e+02,3.980000000000000204e-01,4.000000000000000000e+01
2.721875000000000000e+02,4.015000000000000235e-01,3.800000000000000000e+01
2.739218750000000000e+02,4.219999999999999862e-01,4.800000000000000000e+01
2.765312500000000000e+02,2.039999999999999869e-01,3.900000000000000000e+01
2.773906250000000000e+02,2.012500000000000122e-01,4.100000000000000000e+01
2.782656250000000000e+02,1.990000000000000102e-01,4.100000000000000000e+01
2.791406250000000000e+02,1.952500000000000069e-01,4.200000000000000000e+01
2.800156250000000000e+02,1.917500000000000038e-01,4.100000000000000000e+01
2.808750000000000000e+02,1.890000000000000013e-01,4.200000000000000000e+01
2.817500000000000000e+02,1.857499999999999984e-01,4.200000000000000000e+01
2.826875000000000000e+02,1.822499999999999953e-01,4.200000000000000000e+01
2.835781250000000000e+02,1.787499999999999922e-01,4.400000000000000000e+01
2.844531250000000000e+02,1.762499999999999900e-01,4.300000000000000000e+01
2.853437500000000000e+02,1.734999999999999876e-01,4.400000000000000000e+01
2.861875000000000000e+02,1.717500000000000138e-01,4.500000000000000000e+01
2.870625000000000000e+02,1.697500000000000120e-01,4.400000000000000000e+01
2.879375000000000000e+02,1.675000000000000100e-01,4.500000000000000000e+01
2.888125000000000000e+02,1.650000000000000078e-01,4.500000000000000000e+01
2.896875000000000000e+02,1.627500000000000058e-01,4.500000000000000000e+01
2.905625000000000000e+02,1.617500000000000049e-01,4.600000000000000000e+01
2.914375000000000000e+02,1.592500000000000027e-01,4.600000000000000000e+01
2.923125000000000000e+02,1.567500000000000004e-01,4.600000000000000000e+01
2.931875000000000000e+02,1.552499999999999991e-01,4.700000000000000000e+01
2.940625000000000000e+02,1.532499999999999973e-01,4.900000000000000000e+01
2.949375000000000000e+02,1.522499999999999964e-01,5.000000000000000000e+01
2.958125000000000000e+02,1.527499999999999969e-01,4.800000000000000000e+01
2.966562500000000000e+02,1.537499999999999978e-01,5.000000000000000000e+01
2.975312500000000000e+02,1.542499999999999982e-01,5.000000000000000000e+01
2.983906250000000000e+02,1.539999999999999980e-01,4.800000000000000000e+01
2.992656250000000000e+02,1.552499999999999991e-01,4.700000000000000000e+01
3.002500000000000000e+02,1.572500000000000009e-01,4.600000000000000000e+01
3.011562500000000000e+02,1.587500000000000022e-01,4.700000000000000000e+01
3.020468750000000000e+02,1.610000000000000042e-01,4.700000000000000000e+01
3.029531250000000000e+02,1.637500000000000067e-01,4.700000000000000000e+01
3.037500000000000000e+02,1.650000000000000078e-01,4.700000000000000000e+01
3.046250000000000000e+02,1.662500000000000089e-01,4.600000000000000000e+01
3.055000000000000000e+02,1.677500000000000102e-01,4.600000000000000000e+01
3.063750000000000000e+02,1.702500000000000124e-01,4.500000000000000000e+01
3.072656250000000000e+02,1.729999999999999871e-01,4.500000000000000000e+01
3.081406250000000000e+02,1.754999999999999893e-01,4.500000000000000000e+01
3.090156250000000000e+02,1.779999999999999916e-01,4.500000000000000000e+01
3.098906250000000000e+02,1.794999999999999929e-01,4.400000000000000000e+01
3.107500000000000000e+02,1.819999999999999951e-01,4.400000000000000000e+01
3.116250000000000000e+02,1.862499999999999989e-01,4.400000000000000000e+01
3.124843750000000000e+02,1.905000000000000027e-01,4.400000000000000000e+01
3.133593750000000000e+02,1.925000000000000044e-01,4.300000000000000000e+01
3.142812500000000000e+02,1.952500000000000069e-01,4.400000000000000000e+01
3.151718750000000000e+02,1.995000000000000107e-01,4.400000000000000000e+01
3.160468750000000000e+02,2.034999999999999865e-01,4.500000000000000000e+01
3.169375000000000000e+02,2.077499999999999902e-01,4.500000000000000000e+01
3.178593750000000000e+02,2.127499999999999947e-01,4.600000000000000000e+01
3.187500000000000000e+02,2.179999999999999993e-01,4.700000000000000000e+01
3.196406250000000000e+02,2.197500000000000009e-01,5.200000000000000000e+01
3.205312500000000000e+02,2.182499999999999996e-01,5.600000000000000000e+01
3.213437500000000000e+02,2.177499999999999991e-01,5.600000000000000000e+01
3.222187500000000000e+02,2.182499999999999996e-01,5.500000000000000000e+01
3.230781250000000000e+02,2.174999999999999989e-01,5.200000000000000000e+01
3.239531250000000000e+02,2.154999999999999971e-01,5.100000000000000000e+01
3.248906250000000000e+02,2.122499999999999942e-01,5.000000000000000000e+01
3.257812500000000000e+02,2.089999999999999913e-01,5.000000000000000000e+01
3.266562500000000000e+02,2.062499999999999889e-01,4.900000000000000000e+01
3.275468750000000000e+02,2.034999999999999865e-01,4.900000000000000000e+01
3.284218750000000000e+02,2.007500000000000118e-01,4.900000000000000000e+01
3.293125000000000000e+02,1.985000000000000098e-01,4.900000000000000000e+01
3.301875000000000000e+02,1.965000000000000080e-01,4.900000000000000000e+01
3.310781250000000000e+02,1.947500000000000064e-01,4.900000000000000000e+01
3.319218750000000000e+02,1.942500000000000060e-01,4.900000000000000000e+01
3.327968750000000000e+02,1.935000000000000053e-01,5.000000000000000000e+01
3.336718750000000000e+02,1.922500000000000042e-01,5.000000000000000000e+01
3.345468750000000000e+02,1.915000000000000036e-01,5.000000000000000000e+01
3.355625000000000000e+02,1.897500000000000020e-01,5.000000000000000000e+01
3.364687500000000000e+02,1.880000000000000004e-01,5.100000000000000000e+01
3.373750000000000000e+02,1.864999999999999991e-01,5.000000000000000000e+01
3.382812500000000000e+02,1.847499999999999976e-01,5.000000000000000000e+01
3.390625000000000000e+02,1.844999999999999973e-01,5.100000000000000000e+01
3.399375000000000000e+02,1.844999999999999973e-01,5.100000000000000000e+01
3.408125000000000000e+02,1.832499999999999962e-01,5.100000000000000000e+01
3.416875000000000000e+02,1.819999999999999951e-01,5.000000000000000000e+01
3.426093750000000000e+02,1.839999999999999969e-01,5.200000000000000000e+01
3.435000000000000000e+02,1.859999999999999987e-01,5.300000000000000000e+01
3.443750000000000000e+02,1.864999999999999991e-01,5.400000000000000000e+01
3.452656250000000000e+02,1.867499999999999993e-01,5.300000000000000000e+01
3.461562500000000000e+02,1.862499999999999989e-01,5.200000000000000000e+01
3.470468750000000000e+02,1.852499999999999980e-01,5.200000000000000000e+01
3.479218750000000000e+02,1.847499999999999976e-01,5.200000000000000000e+01
3.488125000000000000e+02,1.847499999999999976e-01,5.100000000000000000e+01
3.497031250000000000e+02,1.842499999999999971e-01,5.200000000000000000e+01
3.505937500000000000e+02,1.842499999999999971e-01,5.100000000000000000e+01
3.514687500000000000e+02,1.834999999999999964e-01,5.100000000000000000e+01
3.523593750000000000e+02,1.829999999999999960e-01,5.100000000000000000e+01
3.532187500000000000e+02,1.829999999999999960e-01,5.200000000000000000e+01
3.540937500000000000e+02,1.827499999999999958e-01,5.100000000000000000e+01
3.549687500000000000e+02,1.827499999999999958e-01,5.200000000000000000e+01
3.558437500000000000e+02,1.832499999999999962e-01,5.100000000000000000e+01
3.568437500000000000e+02,1.832499999999999962e-01,5.100000000000000000e+01
3.577500000000000000e+02,1.832499999999999962e-01,5.100000000000000000e+01
3.586562500000000000e+02,1.839999999999999969e-01,5.100000000000000000e+01
3.595625000000000000e+02,1.844999999999999973e-01,5.100000000000000000e+01
