angle_degrees,distance_meters,quality
3.579062500000000000e+02,9.627499999999999947e-01,2.900000000000000000e+01
1.498906250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.506250000000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
1.513750000000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.520937500000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
1.528281250000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.535625000000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.542968750000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.550781250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.558281250000000000e+02,3.849999999999999950e-02,5.600000000000000000e+01
1.565625000000000000e+02,3.849999999999999950e-02,5.500000000000000000e+01
1.573125000000000000e+02,3.824999999999999928e-02,5.500000000000000000e+01
1.581562500000000000e+02,3.774999999999999883e-02,5.400000000000000000e+01
1.589218750000000000e+02,3.849999999999999950e-02,5.300000000000000000e+01
1.604531250000000000e+02,3.624999999999999750e-02,5.100000000000000000e+01
1.611093750000000000e+02,3.500000000000000333e-02,5.000000000000000000e+01
1.618437500000000000e+02,3.450000000000000289e-02,4.900000000000000000e+01
1.685625000000000000e+02,2.050000000000000086e-02,3.000000000000000000e+01
1.693125000000000000e+02,2.050000000000000086e-02,3.100000000000000000e+01
1.708281250000000000e+02,2.125000000000000153e-02,3.000000000000000000e+01
1.730781250000000000e+02,2.174999999999999850e-02,2.800000000000000000e+01
1.738281250000000000e+02,2.199999999999999872e-02,2.800000000000000000e+01
1.745781250000000000e+02,2.224999999999999895e-02,2.900000000000000000e+01
1.753281250000000000e+02,2.249999999999999917e-02,3.000000000000000000e+01
1.768437500000000000e+02,2.100000000000000130e-02,3.200000000000000000e+01
1.805468750000000000e+02,2.149999999999999828e-02,3.400000000000000000e+01
1.812968750000000000e+02,2.149999999999999828e-02,3.400000000000000000e+01
1.820625000000000000e+02,2.149999999999999828e-02,3.500000000000000000e+01
1.828125000000000000e+02,2.100000000000000130e-02,3.500000000000000000e+01
1.835625000000000000e+02,2.075000000000000108e-02,3.700000000000000000e+01
1.858125000000000000e+02,2.025000000000000064e-02,3.800000000000000000e+01
1.887812500000000000e+02,2.075000000000000108e-02,4.100000000000000000e+01
1.921406250000000000e+02,3.375000000000000222e-02,4.900000000000000000e+01
1.937812500000000000e+02,3.649999999999999772e-02,5.200000000000000000e+01
1.950781250000000000e+02,4.000000000000000083e-02,5.400000000000000000e+01
1.958281250000000000e+02,4.050000000000000128e-02,5.600000000000000000e+01
1.965781250000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
1.973906250000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.981562500000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.989218750000000000e+02,3.925000000000000017e-02,5.700000000000000000e+01
1.996875000000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.003906250000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.011406250000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.018906250000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.026406250000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.034375000000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.042031250000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
2.049531250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.057187500000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.072500000000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.080000000000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.087656250000000000e+02,4.175000000000000239e-02,5.800000000000000000e+01
2.094531250000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.102031250000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.109375000000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.116875000000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
