angle_degrees,distance_meters,quality
2.031250000000000000e-01,6.507500000000000506e-01,3.800000000000000000e+01
1.863281250000000000e+02,2.174999999999999850e-02,3.600000000000000000e+01
1.870625000000000000e+02,2.174999999999999850e-02,3.700000000000000000e+01
1.878125000000000000e+02,2.199999999999999872e-02,3.800000000000000000e+01
1.885937500000000000e+02,2.249999999999999917e-02,3.900000000000000000e+01
1.900937500000000000e+02,2.724999999999999992e-02,4.400000000000000000e+01
1.935312500000000000e+02,3.749999999999999861e-02,5.200000000000000000e+01
1.949218750000000000e+02,4.075000000000000150e-02,5.500000000000000000e+01
1.956875000000000000e+02,4.075000000000000150e-02,5.500000000000000000e+01
1.964375000000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
1.987500000000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
1.995156250000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.002812500000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.010625000000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.018281250000000000e+02,3.874999999999999972e-02,5.800000000000000000e+01
2.025937500000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.033593750000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
2.040937500000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.048593750000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.056093750000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.063750000000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
2.071562500000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.079218750000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.086875000000000000e+02,4.200000000000000261e-02,5.800000000000000000e+01
2.094531250000000000e+02,4.175000000000000239e-02,5.800000000000000000e+01
2.101250000000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.108750000000000000e+02,4.225000000000000283e-02,5.800000000000000000e+01
2.123593750000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.146875000000000000e+02,3.749999999999999861e-02,5.800000000000000000e+01
2.154531250000000000e+02,3.749999999999999861e-02,5.900000000000000000e+01
2.162343750000000000e+02,3.724999999999999839e-02,5.900000000000000000e+01
2.170000000000000000e+02,3.674999999999999795e-02,5.900000000000000000e+01
2.177656250000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.185312500000000000e+02,3.524999999999999661e-02,5.800000000000000000e+01
2.192500000000000000e+02,3.524999999999999661e-02,5.900000000000000000e+01
2.200000000000000000e+02,3.624999999999999750e-02,5.900000000000000000e+01
2.207500000000000000e+02,3.749999999999999861e-02,5.900000000000000000e+01
2.215000000000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.230781250000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.238437500000000000e+02,4.100000000000000172e-02,5.700000000000000000e+01
2.260781250000000000e+02,4.474999999999999811e-02,5.500000000000000000e+01
2.268281250000000000e+02,4.524999999999999856e-02,5.500000000000000000e+01
2.275781250000000000e+02,4.524999999999999856e-02,5.400000000000000000e+01
2.284531250000000000e+02,4.524999999999999856e-02,5.300000000000000000e+01
2.292343750000000000e+02,4.574999999999999900e-02,5.400000000000000000e+01
2.300156250000000000e+02,4.649999999999999967e-02,5.300000000000000000e+01
2.307968750000000000e+02,4.674999999999999989e-02,5.200000000000000000e+01
2.314843750000000000e+02,4.599999999999999922e-02,5.200000000000000000e+01
2.322500000000000000e+02,4.549999999999999878e-02,5.100000000000000000e+01
2.330000000000000000e+02,4.474999999999999811e-02,4.900000000000000000e+01
2.353125000000000000e+02,3.574999999999999706e-02,4.200000000000000000e+01
2.383125000000000000e+02,4.574999999999999900e-02,4.800000000000000000e+01
2.390625000000000000e+02,4.624999999999999944e-02,4.800000000000000000e+01
2.406406250000000000e+02,4.225000000000000283e-02,4.500000000000000000e+01
2.429375000000000000e+02,3.500000000000000333e-02,4.300000000000000000e+01
2.436562500000000000e+02,3.574999999999999706e-02,4.200000000000000000e+01
2.444062500000000000e+02,3.574999999999999706e-02,4.200000000000000000e+01
2.451562500000000000e+02,3.599999999999999728e-02,4.100000000000000000e+01
2.474843750000000000e+02,3.574999999999999706e-02,2.900000000000000000e+01
2.497812500000000000e+02,4.025000000000000105e-02,2.100000000000000000e+01
2.513125000000000000e+02,6.334999999999999520e-01,2.100000000000000000e+01
2.520781250000000000e+02,6.307500000000000329e-01,2.400000000000000000e+01
2.528437500000000000e+02,6.277500000000000302e-01,2.700000000000000000e+01
2.536093750000000000e+02,6.245000000000000551e-01,2.800000000000000000e+01
2.543750000000000000e+02,6.219999999999999973e-01,2.100000000000000000e+01
2.558750000000000000e+02,3.965000000000000191e-01,3.900000000000000000e+01
2.566406250000000000e+02,3.955000000000000182e-01,4.200000000000000000e+01
2.573906250000000000e+02,3.972499999999999920e-01,4.400000000000000000e+01
2.581562500000000000e+02,3.997499999999999942e-01,4.600000000000000000e+01
2.589218750000000000e+02,4.005000000000000226e-01,4.700000000000000000e+01
2.596875000000000000e+02,4.012499999999999956e-01,4.900000000000000000e+01
2.604375000000000000e+02,4.020000000000000240e-01,5.100000000000000000e+01
2.612031250000000000e+02,3.992499999999999938e-01,4.900000000000000000e+01
2.619687500000000000e+02,3.952499999999999902e-01,4.600000000000000000e+01
2.627343750000000000e+02,3.940000000000000169e-01,4.200000000000000000e+01
2.651562500000000000e+02,4.282500000000000195e-01,4.600000000000000000e+01
2.659531250000000000e+02,4.332500000000000240e-01,5.200000000000000000e+01
2.667500000000000000e+02,4.309999999999999942e-01,5.000000000000000000e+01
2.675468750000000000e+02,4.262500000000000178e-01,4.100000000000000000e+01
2.689843750000000000e+02,4.400000000000000022e-01,4.100000000000000000e+01
2.697500000000000000e+02,4.364999999999999991e-01,4.400000000000000000e+01
2.705156250000000000e+02,4.317500000000000226e-01,4.300000000000000000e+01
2.712968750000000000e+02,4.264999999999999902e-01,4.100000000000000000e+01
2.720625000000000000e+02,4.227500000000000147e-01,4.200000000000000000e+01
2.728281250000000000e+02,4.182500000000000107e-01,4.400000000000000000e+01
