angle_degrees,distance_meters,quality
3.592031250000000000e+02,1.387500000000000122e-01,4.700000000000000000e+01
1.875000000000000000e-01,1.405000000000000138e-01,4.700000000000000000e+01
1.171875000000000000e+00,1.422499999999999876e-01,4.600000000000000000e+01
2.156250000000000000e+00,1.432499999999999885e-01,4.500000000000000000e+01
3.140625000000000000e+00,1.454999999999999905e-01,4.600000000000000000e+01
4.125000000000000000e+00,1.479999999999999927e-01,4.700000000000000000e+01
5.109375000000000000e+00,1.464999999999999913e-01,4.300000000000000000e+01
7.078125000000000000e+00,1.390000000000000124e-01,1.700000000000000000e+01
8.062500000000000000e+00,1.375000000000000111e-01,1.300000000000000000e+01
1.003125000000000000e+01,9.862499999999999600e-01,1.600000000000000000e+01
1.104687500000000000e+01,9.929999999999999938e-01,1.500000000000000000e+01
1.204687500000000000e+01,9.969999999999999973e-01,1.500000000000000000e+01
1.051562500000000000e+02,5.675000000000000183e-02,5.300000000000000000e+01
1.060625000000000000e+02,5.625000000000000139e-02,5.400000000000000000e+01
1.070468750000000000e+02,5.550000000000000072e-02,5.400000000000000000e+01
1.080312500000000000e+02,5.500000000000000028e-02,5.300000000000000000e+01
1.100312500000000000e+02,5.025000000000000300e-02,5.200000000000000000e+01
1.110312500000000000e+02,4.950000000000000233e-02,5.000000000000000000e+01
1.130156250000000000e+02,4.624999999999999944e-02,5.000000000000000000e+01
1.150156250000000000e+02,4.250000000000000305e-02,4.900000000000000000e+01
1.160000000000000000e+02,4.225000000000000283e-02,4.900000000000000000e+01
1.170000000000000000e+02,4.175000000000000239e-02,4.900000000000000000e+01
1.179531250000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.189375000000000000e+02,4.125000000000000194e-02,4.800000000000000000e+01
1.209062500000000000e+02,4.275000000000000328e-02,5.000000000000000000e+01
1.218125000000000000e+02,4.299999999999999656e-02,5.000000000000000000e+01
1.227812500000000000e+02,4.349999999999999700e-02,5.000000000000000000e+01
1.237343750000000000e+02,4.424999999999999767e-02,5.100000000000000000e+01
1.247031250000000000e+02,4.424999999999999767e-02,5.100000000000000000e+01
1.257187500000000000e+02,4.449999999999999789e-02,5.200000000000000000e+01
1.267031250000000000e+02,4.474999999999999811e-02,5.200000000000000000e+01
1.286562500000000000e+02,4.225000000000000283e-02,5.100000000000000000e+01
1.326250000000000000e+02,2.649999999999999925e-02,4.200000000000000000e+01
1.336250000000000000e+02,2.649999999999999925e-02,4.100000000000000000e+01
1.346093750000000000e+02,2.549999999999999836e-02,4.100000000000000000e+01
1.355937500000000000e+02,2.549999999999999836e-02,4.100000000000000000e+01
1.365781250000000000e+02,2.624999999999999903e-02,4.300000000000000000e+01
1.387031250000000000e+02,3.049999999999999933e-02,4.500000000000000000e+01
1.407343750000000000e+02,3.350000000000000200e-02,4.900000000000000000e+01
1.426718750000000000e+02,3.649999999999999772e-02,5.200000000000000000e+01
1.446562500000000000e+02,3.824999999999999928e-02,5.400000000000000000e+01
1.456093750000000000e+02,3.749999999999999861e-02,5.500000000000000000e+01
1.475781250000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.485625000000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.496093750000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.506093750000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
1.516093750000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.526093750000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.535937500000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.545937500000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.555781250000000000e+02,3.824999999999999928e-02,5.600000000000000000e+01
1.565781250000000000e+02,3.874999999999999972e-02,5.600000000000000000e+01
1.575312500000000000e+02,3.874999999999999972e-02,5.500000000000000000e+01
1.585156250000000000e+02,3.874999999999999972e-02,5.400000000000000000e+01
1.604843750000000000e+02,3.674999999999999795e-02,5.100000000000000000e+01
1.615781250000000000e+02,3.599999999999999728e-02,5.000000000000000000e+01
1.664375000000000000e+02,2.100000000000000130e-02,3.700000000000000000e+01
1.674062500000000000e+02,2.149999999999999828e-02,3.400000000000000000e+01
1.683750000000000000e+02,2.125000000000000153e-02,3.200000000000000000e+01
1.694531250000000000e+02,2.125000000000000153e-02,3.100000000000000000e+01
1.704531250000000000e+02,2.149999999999999828e-02,3.000000000000000000e+01
1.714375000000000000e+02,2.100000000000000130e-02,3.000000000000000000e+01
1.724375000000000000e+02,2.100000000000000130e-02,2.800000000000000000e+01
1.733593750000000000e+02,2.125000000000000153e-02,2.900000000000000000e+01
1.783437500000000000e+02,2.125000000000000153e-02,3.300000000000000000e+01
1.842031250000000000e+02,2.025000000000000064e-02,3.600000000000000000e+01
1.852500000000000000e+02,2.100000000000000130e-02,3.700000000000000000e+01
1.872343750000000000e+02,2.025000000000000064e-02,3.800000000000000000e+01
1.922031250000000000e+02,3.350000000000000200e-02,4.900000000000000000e+01
1.943906250000000000e+02,3.925000000000000017e-02,5.300000000000000000e+01
1.964531250000000000e+02,4.150000000000000216e-02,5.600000000000000000e+01
1.973750000000000000e+02,4.100000000000000172e-02,5.700000000000000000e+01
1.983750000000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.993750000000000000e+02,4.075000000000000150e-02,5.800000000000000000e+01
2.013906250000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.023906250000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.033906250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.043906250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.053593750000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.063593750000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.073437500000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.083437500000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.093750000000000000e+02,4.250000000000000305e-02,5.800000000000000000e+01
2.103750000000000000e+02,4.299999999999999656e-02,5.800000000000000000e+01
2.113750000000000000e+02,4.275000000000000328e-02,5.800000000000000000e+01
2.123750000000000000e+02,4.225000000000000283e-02,5.800000000000000000e+01
2.132031250000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.141562500000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.160625000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.171875000000000000e+02,3.674999999999999795e-02,5.800000000000000000e+01
2.181875000000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.191718750000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.201718750000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.221093750000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.230937500000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.240781250000000000e+02,4.175000000000000239e-02,5.700000000000000000e+01
2.251406250000000000e+02,4.250000000000000305e-02,5.600000000000000000e+01
2.261406250000000000e+02,4.399999999999999745e-02,5.500000000000000000e+01
2.271406250000000000e+02,4.499999999999999833e-02,5.400000000000000000e+01
2.290468750000000000e+02,4.775000000000000078e-02,5.400000000000000000e+01
2.300312500000000000e+02,4.800000000000000100e-02,5.300000000000000000e+01
2.310000000000000000e+02,4.725000000000000033e-02,5.300000000000000000e+01
2.319843750000000000e+02,4.674999999999999989e-02,5.100000000000000000e+01
2.360156250000000000e+02,3.774999999999999883e-02,4.400000000000000000e+01
2.379531250000000000e+02,4.599999999999999922e-02,4.800000000000000000e+01
2.389375000000000000e+02,4.649999999999999967e-02,4.800000000000000000e+01
2.399218750000000000e+02,4.599999999999999922e-02,4.800000000000000000e+01
2.429375000000000000e+02,3.475000000000000311e-02,4.300000000000000000e+01
2.439375000000000000e+02,3.475000000000000311e-02,4.200000000000000000e+01
2.449375000000000000e+02,3.549999999999999684e-02,4.200000000000000000e+01
2.479218750000000000e+02,3.724999999999999839e-02,2.900000000000000000e+01
2.487968750000000000e+02,3.774999999999999883e-02,2.600000000000000000e+01
2.497656250000000000e+02,3.874999999999999972e-02,2.100000000000000000e+01
2.507187500000000000e+02,3.975000000000000061e-02,1.900000000000000000e+01
2.537812500000000000e+02,6.340000000000000080e-01,2.200000000000000000e+01
2.547656250000000000e+02,6.510000000000000231e-01,2.900000000000000000e+01
2.577031250000000000e+02,7.485000000000000542e-01,3.300000000000000000e+01
