angle_degrees,distance_meters,quality
3.582500000000000000e+02,9.389999999999999458e-01,3.400000000000000000e+01
1.387031250000000000e+02,2.900000000000000147e-02,4.500000000000000000e+01
1.408281250000000000e+02,3.375000000000000222e-02,4.900000000000000000e+01
1.415468750000000000e+02,3.425000000000000266e-02,5.000000000000000000e+01
1.429843750000000000e+02,3.724999999999999839e-02,5.200000000000000000e+01
1.437031250000000000e+02,3.774999999999999883e-02,5.300000000000000000e+01
1.444218750000000000e+02,3.849999999999999950e-02,5.400000000000000000e+01
1.458593750000000000e+02,4.000000000000000083e-02,5.600000000000000000e+01
1.465937500000000000e+02,3.925000000000000017e-02,5.600000000000000000e+01
1.473125000000000000e+02,3.849999999999999950e-02,5.600000000000000000e+01
1.480312500000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.487500000000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.494843750000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.502031250000000000e+02,3.824999999999999928e-02,5.700000000000000000e+01
1.523437500000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.530625000000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.537656250000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.544843750000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.553125000000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.560625000000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.575468750000000000e+02,3.774999999999999883e-02,5.400000000000000000e+01
1.581875000000000000e+02,3.799999999999999906e-02,5.300000000000000000e+01
1.596250000000000000e+02,3.674999999999999795e-02,5.100000000000000000e+01
1.618281250000000000e+02,3.074999999999999956e-02,4.500000000000000000e+01
1.661250000000000000e+02,2.224999999999999895e-02,3.400000000000000000e+01
1.683281250000000000e+02,2.274999999999999939e-02,3.000000000000000000e+01
1.690625000000000000e+02,2.249999999999999917e-02,2.900000000000000000e+01
1.719062500000000000e+02,2.174999999999999850e-02,2.600000000000000000e+01
1.726562500000000000e+02,2.249999999999999917e-02,2.700000000000000000e+01
1.733906250000000000e+02,2.350000000000000006e-02,2.700000000000000000e+01
1.755781250000000000e+02,2.249999999999999917e-02,2.800000000000000000e+01
1.763125000000000000e+02,2.249999999999999917e-02,3.000000000000000000e+01
1.806093750000000000e+02,2.125000000000000153e-02,3.200000000000000000e+01
1.813593750000000000e+02,2.125000000000000153e-02,3.200000000000000000e+01
1.820937500000000000e+02,2.174999999999999850e-02,3.300000000000000000e+01
1.842656250000000000e+02,2.199999999999999872e-02,3.500000000000000000e+01
1.857187500000000000e+02,2.075000000000000108e-02,3.600000000000000000e+01
1.871406250000000000e+02,2.249999999999999917e-02,3.600000000000000000e+01
1.878593750000000000e+02,2.224999999999999895e-02,3.800000000000000000e+01
1.940468750000000000e+02,3.824999999999999928e-02,5.200000000000000000e+01
1.948437500000000000e+02,3.950000000000000039e-02,5.400000000000000000e+01
1.956406250000000000e+02,4.025000000000000105e-02,5.500000000000000000e+01
1.961562500000000000e+02,4.075000000000000150e-02,5.600000000000000000e+01
1.968906250000000000e+02,4.075000000000000150e-02,5.600000000000000000e+01
1.976093750000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.983437500000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.991250000000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
2.006093750000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.013593750000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.020312500000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.027656250000000000e+02,3.874999999999999972e-02,5.800000000000000000e+01
2.034843750000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.042187500000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
2.057187500000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.064531250000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.071875000000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.079375000000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.086718750000000000e+02,4.200000000000000261e-02,5.800000000000000000e+01
2.094062500000000000e+02,4.225000000000000283e-02,5.800000000000000000e+01
2.101406250000000000e+02,4.225000000000000283e-02,5.800000000000000000e+01
2.107812500000000000e+02,4.250000000000000305e-02,5.800000000000000000e+01
2.122031250000000000e+02,4.075000000000000150e-02,5.800000000000000000e+01
2.129218750000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.137187500000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.144531250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.151875000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.159218750000000000e+02,3.674999999999999795e-02,5.800000000000000000e+01
2.166718750000000000e+02,3.649999999999999772e-02,5.800000000000000000e+01
2.174062500000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.181406250000000000e+02,3.475000000000000311e-02,5.800000000000000000e+01
2.188750000000000000e+02,3.475000000000000311e-02,5.800000000000000000e+01
2.195625000000000000e+02,3.549999999999999684e-02,5.900000000000000000e+01
2.202812500000000000e+02,3.649999999999999772e-02,5.800000000000000000e+01
2.210000000000000000e+02,3.699999999999999817e-02,5.800000000000000000e+01
2.225000000000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.232343750000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
2.239687500000000000e+02,4.050000000000000128e-02,5.700000000000000000e+01
2.254531250000000000e+02,4.374999999999999722e-02,5.500000000000000000e+01
2.261875000000000000e+02,4.324999999999999678e-02,5.400000000000000000e+01
