angle_degrees,distance_meters,quality
3.576875000000000000e+02,9.642500000000000515e-01,2.900000000000000000e+01
1.164062500000000000e+02,4.175000000000000239e-02,4.800000000000000000e+01
1.171406250000000000e+02,4.150000000000000216e-02,4.800000000000000000e+01
1.194062500000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.201562500000000000e+02,4.175000000000000239e-02,4.900000000000000000e+01
1.209062500000000000e+02,4.225000000000000283e-02,5.000000000000000000e+01
1.216562500000000000e+02,4.250000000000000305e-02,5.000000000000000000e+01
1.224062500000000000e+02,4.275000000000000328e-02,5.000000000000000000e+01
1.231562500000000000e+02,4.324999999999999678e-02,5.100000000000000000e+01
1.239062500000000000e+02,4.399999999999999745e-02,5.100000000000000000e+01
1.246093750000000000e+02,4.399999999999999745e-02,5.100000000000000000e+01
1.253437500000000000e+02,4.374999999999999722e-02,5.200000000000000000e+01
1.260781250000000000e+02,4.474999999999999811e-02,5.200000000000000000e+01
1.276093750000000000e+02,4.324999999999999678e-02,5.200000000000000000e+01
1.283593750000000000e+02,4.250000000000000305e-02,5.100000000000000000e+01
1.328593750000000000e+02,2.699999999999999969e-02,4.100000000000000000e+01
1.335781250000000000e+02,2.674999999999999947e-02,4.100000000000000000e+01
1.343281250000000000e+02,2.599999999999999881e-02,4.200000000000000000e+01
1.350625000000000000e+02,2.574999999999999858e-02,4.200000000000000000e+01
1.358125000000000000e+02,2.599999999999999881e-02,4.200000000000000000e+01
1.380468750000000000e+02,2.925000000000000169e-02,4.500000000000000000e+01
1.387968750000000000e+02,2.925000000000000169e-02,4.600000000000000000e+01
1.406406250000000000e+02,3.325000000000000178e-02,4.800000000000000000e+01
1.422656250000000000e+02,3.574999999999999706e-02,5.100000000000000000e+01
1.428437500000000000e+02,3.599999999999999728e-02,5.200000000000000000e+01
1.435937500000000000e+02,3.699999999999999817e-02,5.300000000000000000e+01
1.443437500000000000e+02,3.824999999999999928e-02,5.400000000000000000e+01
1.450937500000000000e+02,3.975000000000000061e-02,5.500000000000000000e+01
1.458750000000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
1.466406250000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.473906250000000000e+02,3.899999999999999994e-02,5.600000000000000000e+01
1.481562500000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.489218750000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.504375000000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.512031250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.519218750000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.526718750000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.534218750000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.541718750000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.549687500000000000e+02,3.899999999999999994e-02,5.700000000000000000e+01
1.557343750000000000e+02,3.899999999999999994e-02,5.600000000000000000e+01
1.564843750000000000e+02,3.874999999999999972e-02,5.600000000000000000e+01
1.572500000000000000e+02,3.950000000000000039e-02,5.500000000000000000e+01
1.588906250000000000e+02,3.799999999999999906e-02,5.400000000000000000e+01
1.596718750000000000e+02,3.749999999999999861e-02,5.200000000000000000e+01
1.619375000000000000e+02,3.524999999999999661e-02,5.000000000000000000e+01
1.627031250000000000e+02,3.450000000000000289e-02,4.900000000000000000e+01
1.672500000000000000e+02,2.125000000000000153e-02,3.600000000000000000e+01
1.680156250000000000e+02,2.174999999999999850e-02,3.400000000000000000e+01
1.695312500000000000e+02,2.000000000000000042e-02,3.300000000000000000e+01
1.703125000000000000e+02,2.050000000000000086e-02,3.200000000000000000e+01
1.733906250000000000e+02,2.224999999999999895e-02,3.100000000000000000e+01
1.741562500000000000e+02,2.274999999999999939e-02,3.100000000000000000e+01
1.756875000000000000e+02,2.050000000000000086e-02,3.100000000000000000e+01
1.764687500000000000e+02,2.100000000000000130e-02,3.400000000000000000e+01
1.772343750000000000e+02,2.149999999999999828e-02,3.500000000000000000e+01
1.780000000000000000e+02,2.174999999999999850e-02,3.500000000000000000e+01
1.787656250000000000e+02,2.149999999999999828e-02,3.500000000000000000e+01
1.795312500000000000e+02,2.149999999999999828e-02,3.400000000000000000e+01
1.856406250000000000e+02,2.149999999999999828e-02,3.700000000000000000e+01
1.879375000000000000e+02,2.075000000000000108e-02,4.000000000000000000e+01
1.902031250000000000e+02,2.974999999999999867e-02,4.600000000000000000e+01
1.929062500000000000e+02,3.749999999999999861e-02,5.100000000000000000e+01
1.937500000000000000e+02,3.824999999999999928e-02,5.200000000000000000e+01
1.945937500000000000e+02,3.925000000000000017e-02,5.300000000000000000e+01
1.951875000000000000e+02,4.025000000000000105e-02,5.500000000000000000e+01
1.959687500000000000e+02,4.100000000000000172e-02,5.500000000000000000e+01
1.967500000000000000e+02,4.100000000000000172e-02,5.700000000000000000e+01
1.975312500000000000e+02,4.050000000000000128e-02,5.700000000000000000e+01
1.982656250000000000e+02,4.000000000000000083e-02,5.700000000000000000e+01
1.990312500000000000e+02,4.000000000000000083e-02,5.700000000000000000e+01
1.997968750000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.005625000000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
