angle_degrees,distance_meters,quality
3.579062500000000000e+02,3.054999999999999938e-01,1.500000000000000000e+01
3.587343750000000000e+02,3.049999999999999933e-01,1.500000000000000000e+01
3.595468750000000000e+02,3.044999999999999929e-01,1.500000000000000000e+01
3.750000000000000000e-01,3.049999999999999933e-01,1.400000000000000000e+01
1.171875000000000000e+00,3.057500000000000218e-01,1.400000000000000000e+01
1.984375000000000000e+00,3.057500000000000218e-01,1.400000000000000000e+01
2.796875000000000000e+00,3.052500000000000213e-01,1.400000000000000000e+01
3.609375000000000000e+00,3.087500000000000244e-01,1.300000000000000000e+01
4.421875000000000000e+00,3.072500000000000231e-01,1.400000000000000000e+01
5.234375000000000000e+00,3.037500000000000200e-01,1.300000000000000000e+01
6.046875000000000000e+00,3.052500000000000213e-01,1.300000000000000000e+01
6.859375000000000000e+00,3.067500000000000226e-01,1.400000000000000000e+01
7.718750000000000000e+00,3.067500000000000226e-01,1.400000000000000000e+01
8.546875000000000000e+00,3.059999999999999942e-01,1.400000000000000000e+01
9.359375000000000000e+00,3.044999999999999929e-01,1.400000000000000000e+01
1.018750000000000000e+01,3.069999999999999951e-01,1.500000000000000000e+01
1.096875000000000000e+01,3.079999999999999960e-01,1.500000000000000000e+01
1.178125000000000000e+01,3.049999999999999933e-01,1.500000000000000000e+01
1.259375000000000000e+01,3.042500000000000204e-01,1.500000000000000000e+01
1.340625000000000000e+01,3.047500000000000209e-01,1.600000000000000000e+01
1.442187500000000000e+01,3.067500000000000226e-01,1.600000000000000000e+01
1.528125000000000000e+01,3.125000000000000000e-01,2.500000000000000000e+01
1.700000000000000000e+01,3.032500000000000195e-01,1.700000000000000000e+01
1.856250000000000000e+01,2.725000000000000200e-01,1.300000000000000000e+01
2.021875000000000000e+01,2.454999999999999960e-01,1.200000000000000000e+01
2.103125000000000000e+01,2.432499999999999940e-01,1.300000000000000000e+01
2.267187500000000000e+01,2.260000000000000064e-01,1.400000000000000000e+01
2.431250000000000000e+01,2.144999999999999962e-01,1.400000000000000000e+01
2.595312500000000000e+01,2.030000000000000138e-01,1.500000000000000000e+01
2.678125000000000000e+01,2.005000000000000115e-01,1.700000000000000000e+01
2.843750000000000000e+01,1.880000000000000004e-01,1.700000000000000000e+01
3.007812500000000000e+01,1.932500000000000051e-01,1.600000000000000000e+01
3.145312500000000000e+01,2.049999999999999878e-01,1.400000000000000000e+01
3.298437500000000000e+01,2.139999999999999958e-01,1.300000000000000000e+01
3.964062500000000000e+01,3.380000000000000226e-01,9.000000000000000000e+00
4.290625000000000000e+01,4.005000000000000226e-01,9.000000000000000000e+00
4.621875000000000000e+01,4.744999999999999774e-01,9.000000000000000000e+00
4.698437500000000000e+01,4.799999999999999822e-01,9.000000000000000000e+00
4.859375000000000000e+01,4.982500000000000262e-01,1.000000000000000000e+01
4.940625000000000000e+01,5.000000000000000000e-01,9.000000000000000000e+00
5.045312500000000000e+01,5.054999999999999494e-01,9.000000000000000000e+00
5.132812500000000000e+01,5.200000000000000178e-01,9.000000000000000000e+00
5.218750000000000000e+01,5.310000000000000275e-01,9.000000000000000000e+00
5.306250000000000000e+01,5.384999999999999787e-01,9.000000000000000000e+00
5.375000000000000000e+01,5.454999999999999849e-01,9.000000000000000000e+00
5.457812500000000000e+01,5.540000000000000480e-01,9.000000000000000000e+00
5.539062500000000000e+01,5.675000000000000044e-01,1.000000000000000000e+01
5.621875000000000000e+01,5.809999999999999609e-01,9.000000000000000000e+00
5.703125000000000000e+01,5.899999999999999689e-01,9.000000000000000000e+00
5.785937500000000000e+01,5.977500000000000036e-01,9.000000000000000000e+00
5.867187500000000000e+01,6.092499999999999583e-01,9.000000000000000000e+00
5.950000000000000000e+01,6.229999999999999982e-01,8.000000000000000000e+00
6.032812500000000000e+01,6.354999999999999538e-01,8.000000000000000000e+00
6.196875000000000000e+01,6.734999999999999876e-01,8.000000000000000000e+00
6.279687500000000000e+01,6.889999999999999458e-01,8.000000000000000000e+00
6.445312500000000000e+01,7.349999999999999867e-01,9.000000000000000000e+00
6.526562500000000000e+01,7.439999999999999947e-01,9.000000000000000000e+00
