angle_degrees,distance_meters,quality
3.597812500000000000e+02,2.364999999999999880e-01,1.800000000000000000e+01
1.348125000000000000e+02,3.724999999999999839e-02,2.100000000000000000e+01
1.377812500000000000e+02,3.674999999999999795e-02,2.400000000000000000e+01
1.395000000000000000e+02,3.425000000000000266e-02,2.800000000000000000e+01
1.410937500000000000e+02,3.099999999999999978e-02,2.900000000000000000e+01
1.418906250000000000e+02,3.099999999999999978e-02,3.200000000000000000e+01
1.447500000000000000e+02,2.375000000000000028e-02,3.700000000000000000e+01
1.506875000000000000e+02,2.050000000000000086e-02,4.400000000000000000e+01
1.521875000000000000e+02,2.324999999999999983e-02,4.600000000000000000e+01
1.566875000000000000e+02,2.525000000000000161e-02,4.600000000000000000e+01
1.597656250000000000e+02,2.525000000000000161e-02,4.400000000000000000e+01
1.612500000000000000e+02,2.699999999999999969e-02,4.300000000000000000e+01
1.649531250000000000e+02,2.274999999999999939e-02,3.900000000000000000e+01
1.687343750000000000e+02,2.674999999999999947e-02,3.400000000000000000e+01
1.732187500000000000e+02,2.400000000000000050e-02,3.500000000000000000e+01
1.755312500000000000e+02,2.425000000000000072e-02,3.600000000000000000e+01
1.778281250000000000e+02,2.299999999999999961e-02,3.800000000000000000e+01
1.785468750000000000e+02,2.249999999999999917e-02,4.000000000000000000e+01
1.792968750000000000e+02,2.274999999999999939e-02,3.900000000000000000e+01
1.807968750000000000e+02,2.199999999999999872e-02,3.900000000000000000e+01
1.815312500000000000e+02,2.224999999999999895e-02,3.900000000000000000e+01
1.845468750000000000e+02,2.199999999999999872e-02,3.800000000000000000e+01
1.852968750000000000e+02,2.274999999999999939e-02,3.800000000000000000e+01
1.860468750000000000e+02,2.350000000000000006e-02,3.800000000000000000e+01
1.867968750000000000e+02,2.375000000000000028e-02,3.900000000000000000e+01
1.875312500000000000e+02,2.350000000000000006e-02,3.900000000000000000e+01
1.897656250000000000e+02,2.750000000000000014e-02,4.300000000000000000e+01
1.912968750000000000e+02,2.925000000000000169e-02,4.500000000000000000e+01
1.927968750000000000e+02,3.049999999999999933e-02,4.700000000000000000e+01
1.946875000000000000e+02,3.200000000000000067e-02,4.900000000000000000e+01
1.955156250000000000e+02,3.125000000000000000e-02,5.000000000000000000e+01
1.969218750000000000e+02,3.275000000000000133e-02,5.100000000000000000e+01
2.007187500000000000e+02,2.775000000000000036e-02,5.000000000000000000e+01
2.014687500000000000e+02,2.850000000000000103e-02,5.000000000000000000e+01
2.022343750000000000e+02,2.850000000000000103e-02,5.000000000000000000e+01
2.037812500000000000e+02,2.599999999999999881e-02,5.000000000000000000e+01
2.068437500000000000e+02,2.624999999999999903e-02,4.800000000000000000e+01
2.090937500000000000e+02,2.724999999999999992e-02,4.700000000000000000e+01
2.098437500000000000e+02,2.775000000000000036e-02,4.800000000000000000e+01
2.105937500000000000e+02,2.800000000000000058e-02,4.800000000000000000e+01
2.159062500000000000e+02,2.050000000000000086e-02,4.500000000000000000e+01
2.235000000000000000e+02,2.025000000000000064e-02,4.000000000000000000e+01
2.273593750000000000e+02,2.974999999999999867e-02,3.500000000000000000e+01
2.281250000000000000e+02,3.099999999999999978e-02,3.300000000000000000e+01
2.304218750000000000e+02,3.674999999999999795e-02,3.100000000000000000e+01
2.349687500000000000e+02,4.700000000000000011e-02,2.000000000000000000e+01
2.357343750000000000e+02,4.649999999999999967e-02,2.200000000000000000e+01
2.372968750000000000e+02,4.925000000000000211e-02,2.400000000000000000e+01
2.395625000000000000e+02,5.000000000000000278e-02,2.300000000000000000e+01
2.410781250000000000e+02,4.624999999999999944e-02,1.900000000000000000e+01
2.441250000000000000e+02,4.850000000000000144e-02,1.800000000000000000e+01
2.448906250000000000e+02,4.750000000000000056e-02,1.700000000000000000e+01
2.457031250000000000e+02,4.750000000000000056e-02,1.300000000000000000e+01
