angle_degrees,distance_meters,quality
3.587500000000000000e+02,3.957499999999999907e-01,4.300000000000000000e+01
3.595468750000000000e+02,3.937499999999999889e-01,4.400000000000000000e+01
3.437500000000000000e-01,3.890000000000000124e-01,2.900000000000000000e+01
1.140625000000000000e+00,3.847499999999999809e-01,2.200000000000000000e+01
1.937500000000000000e+00,3.815000000000000058e-01,2.000000000000000000e+01
2.734375000000000000e+00,3.797499999999999765e-01,2.500000000000000000e+01
3.531250000000000000e+00,3.782499999999999751e-01,4.600000000000000000e+01
4.312500000000000000e+00,3.750000000000000000e-01,4.700000000000000000e+01
5.109375000000000000e+00,3.719999999999999973e-01,4.700000000000000000e+01
5.890625000000000000e+00,3.677500000000000213e-01,4.300000000000000000e+01
6.687500000000000000e+00,3.622500000000000164e-01,1.800000000000000000e+01
7.531250000000000000e+00,3.557500000000000107e-01,1.600000000000000000e+01
8.343750000000000000e+00,3.509999999999999787e-01,1.600000000000000000e+01
9.140625000000000000e+00,3.504999999999999782e-01,3.300000000000000000e+01
9.953125000000000000e+00,3.514999999999999791e-01,4.800000000000000000e+01
1.070312500000000000e+01,3.512500000000000067e-01,4.700000000000000000e+01
1.150000000000000000e+01,3.492500000000000049e-01,4.800000000000000000e+01
1.228125000000000000e+01,3.464999999999999747e-01,4.700000000000000000e+01
1.307812500000000000e+01,3.415000000000000258e-01,2.300000000000000000e+01
1.418750000000000000e+01,3.362499999999999933e-01,1.800000000000000000e+01
1.506250000000000000e+01,3.317499999999999893e-01,1.800000000000000000e+01
1.592187500000000000e+01,3.287499999999999867e-01,1.900000000000000000e+01
1.679687500000000000e+01,3.302499999999999880e-01,4.200000000000000000e+01
1.742187500000000000e+01,3.325000000000000178e-01,5.000000000000000000e+01
1.823437500000000000e+01,3.315000000000000169e-01,5.000000000000000000e+01
1.903125000000000000e+01,3.287499999999999867e-01,5.000000000000000000e+01
1.984375000000000000e+01,3.267499999999999849e-01,4.900000000000000000e+01
2.067187500000000000e+01,3.237499999999999822e-01,3.500000000000000000e+01
2.148437500000000000e+01,3.202499999999999791e-01,2.500000000000000000e+01
2.229687500000000000e+01,3.195000000000000062e-01,2.500000000000000000e+01
2.310937500000000000e+01,3.170000000000000040e-01,2.300000000000000000e+01
2.389062500000000000e+01,3.157499999999999751e-01,2.900000000000000000e+01
2.470312500000000000e+01,3.187499999999999778e-01,4.800000000000000000e+01
2.550000000000000000e+01,3.192499999999999782e-01,5.000000000000000000e+01
2.631250000000000000e+01,3.180000000000000049e-01,5.000000000000000000e+01
2.714062500000000000e+01,3.175000000000000044e-01,5.000000000000000000e+01
2.795312500000000000e+01,3.172499999999999765e-01,5.000000000000000000e+01
2.876562500000000000e+01,3.147499999999999742e-01,3.700000000000000000e+01
2.957812500000000000e+01,3.104999999999999982e-01,3.100000000000000000e+01
3.025000000000000000e+01,3.082500000000000240e-01,3.000000000000000000e+01
3.103125000000000000e+01,3.092500000000000249e-01,3.400000000000000000e+01
3.179687500000000000e+01,3.130000000000000004e-01,4.600000000000000000e+01
3.257812500000000000e+01,3.142499999999999738e-01,4.100000000000000000e+01
3.423437500000000000e+01,4.512499999999999845e-01,3.400000000000000000e+01
3.503125000000000000e+01,4.565000000000000169e-01,3.900000000000000000e+01
3.582812500000000000e+01,4.587499999999999911e-01,4.100000000000000000e+01
3.667187500000000000e+01,4.585000000000000187e-01,4.200000000000000000e+01
3.748437500000000000e+01,4.567499999999999893e-01,4.300000000000000000e+01
3.828125000000000000e+01,4.545000000000000151e-01,4.500000000000000000e+01
3.909375000000000000e+01,4.515000000000000124e-01,4.500000000000000000e+01
3.989062500000000000e+01,4.500000000000000111e-01,4.500000000000000000e+01
4.070312500000000000e+01,4.510000000000000120e-01,4.600000000000000000e+01
4.150000000000000000e+01,4.527499999999999858e-01,4.500000000000000000e+01
4.231250000000000000e+01,4.557499999999999885e-01,4.400000000000000000e+01
4.309375000000000000e+01,4.590000000000000191e-01,4.400000000000000000e+01
4.389062500000000000e+01,4.617499999999999938e-01,4.200000000000000000e+01
4.468750000000000000e+01,4.655000000000000249e-01,4.100000000000000000e+01
4.548437500000000000e+01,4.699999999999999734e-01,3.700000000000000000e+01
4.629687500000000000e+01,4.759999999999999787e-01,3.500000000000000000e+01
4.709375000000000000e+01,4.839999999999999858e-01,3.400000000000000000e+01
4.789062500000000000e+01,4.929999999999999938e-01,3.300000000000000000e+01
4.868750000000000000e+01,5.047500000000000320e-01,3.000000000000000000e+01
4.981250000000000000e+01,5.192499999999999893e-01,2.700000000000000000e+01
5.306250000000000000e+01,8.002500000000000169e-01,3.200000000000000000e+01
5.387500000000000000e+01,8.027499999999999636e-01,3.400000000000000000e+01
5.468750000000000000e+01,8.037499999999999645e-01,3.600000000000000000e+01
5.550000000000000000e+01,8.044999999999999929e-01,3.600000000000000000e+01
5.632812500000000000e+01,8.072500000000000231e-01,3.700000000000000000e+01
5.714062500000000000e+01,8.122500000000000275e-01,3.400000000000000000e+01
5.795312500000000000e+01,8.192500000000000338e-01,2.900000000000000000e+01
5.876562500000000000e+01,8.227499999999999813e-01,3.200000000000000000e+01
5.957812500000000000e+01,8.245000000000000107e-01,3.200000000000000000e+01
6.039062500000000000e+01,8.305000000000000160e-01,3.300000000000000000e+01
6.120312500000000000e+01,8.375000000000000222e-01,3.300000000000000000e+01
6.201562500000000000e+01,8.447500000000000009e-01,3.300000000000000000e+01
6.284375000000000000e+01,8.532499999999999529e-01,3.200000000000000000e+01
6.365625000000000000e+01,8.607500000000000151e-01,3.300000000000000000e+01
6.446875000000000000e+01,8.677500000000000213e-01,3.100000000000000000e+01
6.528125000000000000e+01,8.780000000000000027e-01,3.100000000000000000e+01
6.617187500000000000e+01,8.914999999999999591e-01,3.000000000000000000e+01
6.700000000000000000e+01,9.070000000000000284e-01,3.200000000000000000e+01
6.782812500000000000e+01,9.162500000000000089e-01,3.900000000000000000e+01
6.865625000000000000e+01,9.237499999999999600e-01,4.300000000000000000e+01
6.943750000000000000e+01,9.240000000000000435e-01,3.900000000000000000e+01
7.025000000000000000e+01,9.144999999999999796e-01,3.800000000000000000e+01
7.106250000000000000e+01,9.070000000000000284e-01,3.800000000000000000e+01
7.187500000000000000e+01,9.107499999999999485e-01,3.600000000000000000e+01
7.270312500000000000e+01,9.204999999999999849e-01,3.700000000000000000e+01
7.351562500000000000e+01,9.242500000000000160e-01,3.800000000000000000e+01
7.432812500000000000e+01,9.220000000000000417e-01,3.500000000000000000e+01
7.514062500000000000e+01,9.202500000000000124e-01,3.100000000000000000e+01
7.601562500000000000e+01,9.362500000000000266e-01,3.200000000000000000e+01
7.684375000000000000e+01,9.615000000000000213e-01,3.300000000000000000e+01
7.767187500000000000e+01,9.575000000000000178e-01,3.100000000000000000e+01
7.850000000000000000e+01,9.427499999999999769e-01,2.700000000000000000e+01
7.925000000000000000e+01,9.360000000000000542e-01,1.800000000000000000e+01
8.006250000000000000e+01,9.277499999999999636e-01,1.500000000000000000e+01
8.167187500000000000e+01,9.625000000000000222e-01,2.000000000000000000e+01
8.251562500000000000e+01,9.589999999999999636e-01,1.600000000000000000e+01
8.656250000000000000e+01,9.042499999999999982e-01,1.700000000000000000e+01
8.981250000000000000e+01,9.847500000000000142e-01,6.000000000000000000e+00
9.634375000000000000e+01,3.137499999999999734e-01,2.000000000000000000e+00
1.088281250000000000e+02,4.025000000000000105e-02,3.800000000000000000e+01
1.096562500000000000e+02,4.125000000000000194e-02,3.800000000000000000e+01
1.113125000000000000e+02,4.000000000000000083e-02,3.900000000000000000e+01
1.145937500000000000e+02,4.324999999999999678e-02,4.700000000000000000e+01
1.154062500000000000e+02,4.324999999999999678e-02,4.700000000000000000e+01
1.162343750000000000e+02,4.225000000000000283e-02,4.800000000000000000e+01
1.170468750000000000e+02,4.250000000000000305e-02,4.800000000000000000e+01
1.178750000000000000e+02,4.399999999999999745e-02,5.000000000000000000e+01
1.187031250000000000e+02,4.474999999999999811e-02,5.000000000000000000e+01
1.195312500000000000e+02,4.524999999999999856e-02,5.000000000000000000e+01
1.211718750000000000e+02,4.324999999999999678e-02,5.000000000000000000e+01
1.219218750000000000e+02,4.374999999999999722e-02,5.000000000000000000e+01
1.227343750000000000e+02,4.349999999999999700e-02,5.000000000000000000e+01
1.235312500000000000e+02,4.275000000000000328e-02,5.100000000000000000e+01
1.252187500000000000e+02,4.474999999999999811e-02,5.100000000000000000e+01
1.260468750000000000e+02,4.449999999999999789e-02,5.100000000000000000e+01
1.268593750000000000e+02,4.424999999999999767e-02,5.300000000000000000e+01
1.285156250000000000e+02,4.574999999999999900e-02,5.300000000000000000e+01
1.301562500000000000e+02,4.324999999999999678e-02,5.300000000000000000e+01
1.317812500000000000e+02,4.125000000000000194e-02,5.100000000000000000e+01
1.334062500000000000e+02,3.699999999999999817e-02,4.800000000000000000e+01
1.350781250000000000e+02,3.425000000000000266e-02,4.700000000000000000e+01
1.359062500000000000e+02,3.450000000000000289e-02,4.700000000000000000e+01
1.367187500000000000e+02,3.425000000000000266e-02,4.700000000000000000e+01
1.375468750000000000e+02,3.375000000000000222e-02,4.800000000000000000e+01
1.386093750000000000e+02,3.300000000000000155e-02,4.800000000000000000e+01
1.412656250000000000e+02,3.699999999999999817e-02,5.100000000000000000e+01
1.419062500000000000e+02,3.699999999999999817e-02,5.200000000000000000e+01
1.435468750000000000e+02,3.874999999999999972e-02,5.400000000000000000e+01
1.452500000000000000e+02,4.025000000000000105e-02,5.500000000000000000e+01
1.460937500000000000e+02,4.050000000000000128e-02,5.600000000000000000e+01
1.469218750000000000e+02,4.125000000000000194e-02,5.600000000000000000e+01
1.485781250000000000e+02,3.925000000000000017e-02,5.700000000000000000e+01
1.494062500000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.502343750000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
1.510625000000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
1.518906250000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
1.527187500000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
1.535468750000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
1.552187500000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.560468750000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.568750000000000000e+02,4.000000000000000083e-02,5.700000000000000000e+01
1.577031250000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.586250000000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.603281250000000000e+02,4.050000000000000128e-02,5.600000000000000000e+01
1.611875000000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
1.619687500000000000e+02,4.000000000000000083e-02,5.600000000000000000e+01
1.628125000000000000e+02,4.000000000000000083e-02,5.500000000000000000e+01
1.636406250000000000e+02,4.050000000000000128e-02,5.500000000000000000e+01
1.661562500000000000e+02,3.649999999999999772e-02,5.200000000000000000e+01
1.669843750000000000e+02,3.549999999999999684e-02,5.000000000000000000e+01
1.694531250000000000e+02,2.850000000000000103e-02,4.500000000000000000e+01
1.711093750000000000e+02,2.674999999999999947e-02,4.400000000000000000e+01
1.719687500000000000e+02,2.699999999999999969e-02,4.400000000000000000e+01
1.753281250000000000e+02,2.475000000000000117e-02,4.300000000000000000e+01
1.761718750000000000e+02,2.549999999999999836e-02,4.400000000000000000e+01
1.778437500000000000e+02,2.775000000000000036e-02,4.500000000000000000e+01
1.786875000000000000e+02,2.775000000000000036e-02,4.500000000000000000e+01
1.803593750000000000e+02,2.674999999999999947e-02,4.400000000000000000e+01
1.837187500000000000e+02,2.475000000000000117e-02,4.300000000000000000e+01
1.861718750000000000e+02,2.375000000000000028e-02,4.200000000000000000e+01
1.887031250000000000e+02,2.299999999999999961e-02,4.200000000000000000e+01
1.912187500000000000e+02,2.900000000000000147e-02,4.600000000000000000e+01
1.932500000000000000e+02,3.225000000000000089e-02,4.700000000000000000e+01
1.950625000000000000e+02,3.325000000000000178e-02,4.800000000000000000e+01
1.957031250000000000e+02,3.325000000000000178e-02,4.900000000000000000e+01
1.965468750000000000e+02,3.375000000000000222e-02,4.900000000000000000e+01
1.973750000000000000e+02,3.375000000000000222e-02,5.000000000000000000e+01
1.991093750000000000e+02,3.574999999999999706e-02,5.000000000000000000e+01
1.999687500000000000e+02,3.649999999999999772e-02,5.000000000000000000e+01
2.008125000000000000e+02,3.649999999999999772e-02,5.000000000000000000e+01
2.024687500000000000e+02,3.799999999999999906e-02,5.000000000000000000e+01
2.033125000000000000e+02,3.799999999999999906e-02,5.100000000000000000e+01
2.041406250000000000e+02,3.824999999999999928e-02,5.100000000000000000e+01
2.049843750000000000e+02,3.824999999999999928e-02,5.200000000000000000e+01
2.058750000000000000e+02,3.824999999999999928e-02,5.200000000000000000e+01
2.067343750000000000e+02,3.749999999999999861e-02,5.200000000000000000e+01
2.075781250000000000e+02,3.724999999999999839e-02,5.100000000000000000e+01
2.092812500000000000e+02,3.874999999999999972e-02,5.200000000000000000e+01
2.101406250000000000e+02,3.824999999999999928e-02,5.200000000000000000e+01
2.109843750000000000e+02,3.849999999999999950e-02,5.200000000000000000e+01
