angle_degrees,distance_meters,quality
3.599843750000000000e+02,3.387499999999999956e-01,4.600000000000000000e+01
8.281250000000000000e-01,3.392499999999999960e-01,4.600000000000000000e+01
1.656250000000000000e+00,3.392499999999999960e-01,4.500000000000000000e+01
2.500000000000000000e+00,3.392499999999999960e-01,4.300000000000000000e+01
3.359375000000000000e+00,3.397499999999999964e-01,4.200000000000000000e+01
4.203125000000000000e+00,3.402499999999999969e-01,4.400000000000000000e+01
5.046875000000000000e+00,3.395000000000000240e-01,4.500000000000000000e+01
5.890625000000000000e+00,3.385000000000000231e-01,5.000000000000000000e+01
6.718750000000000000e+00,3.397499999999999964e-01,5.100000000000000000e+01
7.562500000000000000e+00,3.407499999999999973e-01,5.000000000000000000e+01
8.390625000000000000e+00,3.410000000000000253e-01,5.000000000000000000e+01
9.234375000000000000e+00,3.407499999999999973e-01,4.500000000000000000e+01
3.327500000000000000e+02,3.697500000000000231e-01,4.700000000000000000e+01
3.336406250000000000e+02,3.682500000000000218e-01,4.800000000000000000e+01
3.345312500000000000e+02,3.657500000000000195e-01,4.800000000000000000e+01
3.354218750000000000e+02,3.612500000000000155e-01,2.700000000000000000e+01
3.364375000000000000e+02,3.569999999999999840e-01,2.100000000000000000e+01
3.373593750000000000e+02,3.542500000000000093e-01,2.100000000000000000e+01
3.382812500000000000e+02,3.517500000000000071e-01,2.800000000000000000e+01
3.392031250000000000e+02,3.524999999999999800e-01,4.800000000000000000e+01
3.400156250000000000e+02,3.529999999999999805e-01,4.800000000000000000e+01
3.409062500000000000e+02,3.514999999999999791e-01,4.900000000000000000e+01
3.417968750000000000e+02,3.502500000000000058e-01,4.900000000000000000e+01
3.426875000000000000e+02,3.469999999999999751e-01,3.000000000000000000e+01
3.436093750000000000e+02,3.427499999999999991e-01,2.500000000000000000e+01
3.445156250000000000e+02,3.397499999999999964e-01,2.300000000000000000e+01
3.454062500000000000e+02,3.385000000000000231e-01,2.600000000000000000e+01
3.463125000000000000e+02,3.412499999999999978e-01,4.800000000000000000e+01
3.472343750000000000e+02,3.435000000000000275e-01,5.000000000000000000e+01
3.481406250000000000e+02,3.422499999999999987e-01,5.000000000000000000e+01
3.490468750000000000e+02,3.407499999999999973e-01,5.000000000000000000e+01
3.499531250000000000e+02,3.387499999999999956e-01,4.200000000000000000e+01
3.508281250000000000e+02,3.367499999999999938e-01,3.100000000000000000e+01
3.517343750000000000e+02,3.365000000000000213e-01,3.400000000000000000e+01
3.526250000000000000e+02,3.365000000000000213e-01,4.000000000000000000e+01
3.535312500000000000e+02,3.370000000000000218e-01,4.500000000000000000e+01
3.544531250000000000e+02,3.362499999999999933e-01,5.000000000000000000e+01
3.553593750000000000e+02,3.357499999999999929e-01,5.000000000000000000e+01
3.562656250000000000e+02,3.365000000000000213e-01,5.000000000000000000e+01
3.571718750000000000e+02,3.375000000000000222e-01,5.000000000000000000e+01
