angle_degrees,distance_meters,quality
2.812500000000000000e-01,3.659999999999999920e-01,2.700000000000000000e+01
9.843750000000000000e-01,3.682500000000000218e-01,2.900000000000000000e+01
1.687500000000000000e+00,3.704999999999999960e-01,3.300000000000000000e+01
2.390625000000000000e+00,3.704999999999999960e-01,2.700000000000000000e+01
3.109375000000000000e+00,3.724999999999999978e-01,2.900000000000000000e+01
3.812500000000000000e+00,3.760000000000000009e-01,3.100000000000000000e+01
4.515625000000000000e+00,3.772499999999999742e-01,2.600000000000000000e+01
5.218750000000000000e+00,3.777499999999999747e-01,2.500000000000000000e+01
5.921875000000000000e+00,3.787499999999999756e-01,2.800000000000000000e+01
6.625000000000000000e+00,3.812499999999999778e-01,2.400000000000000000e+01
7.328125000000000000e+00,3.850000000000000089e-01,2.700000000000000000e+01
8.031250000000000000e+00,3.867499999999999827e-01,2.500000000000000000e+01
8.734375000000000000e+00,3.867499999999999827e-01,2.500000000000000000e+01
9.437500000000000000e+00,3.880000000000000115e-01,2.300000000000000000e+01
1.014062500000000000e+01,3.902499999999999858e-01,2.400000000000000000e+01
1.084375000000000000e+01,3.932499999999999885e-01,2.800000000000000000e+01
1.171875000000000000e+01,3.955000000000000182e-01,2.800000000000000000e+01
1.246875000000000000e+01,3.995000000000000218e-01,2.600000000000000000e+01
1.320312500000000000e+01,4.040000000000000258e-01,3.000000000000000000e+01
1.395312500000000000e+01,4.079999999999999738e-01,3.200000000000000000e+01
1.456250000000000000e+01,4.112500000000000044e-01,2.900000000000000000e+01
1.528125000000000000e+01,4.129999999999999782e-01,3.000000000000000000e+01
1.598437500000000000e+01,4.144999999999999796e-01,3.000000000000000000e+01
1.670312500000000000e+01,4.169999999999999818e-01,3.000000000000000000e+01
1.740625000000000000e+01,4.202500000000000124e-01,3.100000000000000000e+01
1.812500000000000000e+01,4.244999999999999885e-01,3.200000000000000000e+01
1.882812500000000000e+01,4.284999999999999920e-01,3.200000000000000000e+01
1.954687500000000000e+01,4.322500000000000231e-01,2.900000000000000000e+01
2.025000000000000000e+01,4.359999999999999987e-01,2.800000000000000000e+01
2.096875000000000000e+01,4.387499999999999734e-01,3.000000000000000000e+01
2.167187500000000000e+01,4.425000000000000044e-01,2.900000000000000000e+01
2.239062500000000000e+01,4.467499999999999805e-01,3.000000000000000000e+01
2.309375000000000000e+01,4.525000000000000133e-01,2.900000000000000000e+01
2.381250000000000000e+01,4.585000000000000187e-01,3.000000000000000000e+01
2.451562500000000000e+01,4.627499999999999947e-01,3.000000000000000000e+01
