angle_degrees,distance_meters,quality
3.590312500000000000e+02,8.719999999999999973e-01,2.700000000000000000e+01
3.597343750000000000e+02,8.754999999999999449e-01,2.500000000000000000e+01
4.375000000000000000e-01,8.784999999999999476e-01,2.500000000000000000e+01
1.140625000000000000e+00,8.830000000000000071e-01,2.600000000000000000e+01
1.859375000000000000e+00,8.874999999999999556e-01,2.700000000000000000e+01
2.562500000000000000e+00,8.900000000000000133e-01,2.600000000000000000e+01
3.265625000000000000e+00,8.924999999999999600e-01,2.600000000000000000e+01
3.968750000000000000e+00,8.964999999999999636e-01,2.500000000000000000e+01
4.671875000000000000e+00,9.004999999999999671e-01,2.600000000000000000e+01
5.375000000000000000e+00,9.054999999999999716e-01,2.600000000000000000e+01
6.078125000000000000e+00,9.110000000000000320e-01,2.500000000000000000e+01
6.781250000000000000e+00,9.140000000000000346e-01,2.400000000000000000e+01
7.484375000000000000e+00,9.164999999999999813e-01,2.500000000000000000e+01
8.187500000000000000e+00,9.210000000000000409e-01,2.600000000000000000e+01
8.890625000000000000e+00,9.254999999999999893e-01,2.600000000000000000e+01
9.593750000000000000e+00,9.330000000000000515e-01,2.400000000000000000e+01
1.031250000000000000e+01,9.405000000000000027e-01,2.500000000000000000e+01
1.101562500000000000e+01,9.452500000000000346e-01,2.600000000000000000e+01
1.171875000000000000e+01,9.499999999999999556e-01,2.500000000000000000e+01
1.242187500000000000e+01,9.555000000000000160e-01,2.600000000000000000e+01
1.329687500000000000e+01,9.609999999999999654e-01,2.700000000000000000e+01
1.404687500000000000e+01,9.659999999999999698e-01,2.800000000000000000e+01
1.478125000000000000e+01,9.749999999999999778e-01,2.800000000000000000e+01
1.553125000000000000e+01,9.839999999999999858e-01,2.800000000000000000e+01
1.614062500000000000e+01,9.919999999999999929e-01,2.900000000000000000e+01
1.685937500000000000e+01,1.000499999999999945e+00,2.800000000000000000e+01
1.756250000000000000e+01,1.007500000000000062e+00,2.800000000000000000e+01
1.828125000000000000e+01,1.015500000000000069e+00,3.000000000000000000e+01
1.896875000000000000e+01,1.024999999999999911e+00,2.700000000000000000e+01
1.967187500000000000e+01,1.035500000000000087e+00,2.900000000000000000e+01
2.037500000000000000e+01,1.044000000000000039e+00,2.800000000000000000e+01
2.107812500000000000e+01,1.052999999999999936e+00,2.800000000000000000e+01
2.182812500000000000e+01,1.063499999999999890e+00,3.000000000000000000e+01
2.254687500000000000e+01,1.072999999999999954e+00,2.900000000000000000e+01
2.325000000000000000e+01,1.084000000000000075e+00,2.900000000000000000e+01
2.396875000000000000e+01,1.096500000000000030e+00,2.900000000000000000e+01
2.467187500000000000e+01,1.100500000000000034e+00,3.000000000000000000e+01
2.539062500000000000e+01,1.109499999999999931e+00,2.900000000000000000e+01
2.609375000000000000e+01,1.125000000000000000e+00,3.400000000000000000e+01
2.681250000000000000e+01,1.135999999999999899e+00,2.800000000000000000e+01
2.751562500000000000e+01,1.151499999999999968e+00,2.600000000000000000e+01
2.823437500000000000e+01,1.167000000000000037e+00,2.700000000000000000e+01
2.893750000000000000e+01,1.181000000000000050e+00,2.500000000000000000e+01
2.965625000000000000e+01,1.195500000000000007e+00,2.500000000000000000e+01
3.012500000000000000e+01,1.211000000000000076e+00,2.600000000000000000e+01
3.078125000000000000e+01,1.224499999999999922e+00,2.500000000000000000e+01
3.142187500000000000e+01,1.239500000000000046e+00,2.400000000000000000e+01
3.207812500000000000e+01,1.256499999999999950e+00,2.200000000000000000e+01
3.293750000000000000e+01,1.274000000000000021e+00,2.300000000000000000e+01
3.364062500000000000e+01,1.294499999999999984e+00,2.400000000000000000e+01
3.434375000000000000e+01,1.312999999999999945e+00,2.400000000000000000e+01
3.504687500000000000e+01,1.330500000000000016e+00,2.300000000000000000e+01
3.575000000000000000e+01,1.350500000000000034e+00,2.200000000000000000e+01
3.645312500000000000e+01,1.374500000000000055e+00,2.200000000000000000e+01
3.715625000000000000e+01,1.395999999999999908e+00,2.300000000000000000e+01
3.785937500000000000e+01,1.417000000000000037e+00,2.100000000000000000e+01
3.856250000000000000e+01,1.441999999999999948e+00,2.200000000000000000e+01
3.926562500000000000e+01,1.466499999999999915e+00,2.200000000000000000e+01
3.996875000000000000e+01,1.493000000000000105e+00,2.200000000000000000e+01
4.067187500000000000e+01,1.520999999999999908e+00,2.100000000000000000e+01
4.135937500000000000e+01,1.550000000000000044e+00,2.200000000000000000e+01
4.206250000000000000e+01,1.579499999999999904e+00,2.000000000000000000e+01
