angle_degrees,distance_meters,quality
3.596250000000000000e+02,7.072500000000000453e-01,3.800000000000000000e+01
1.130625000000000000e+02,4.250000000000000305e-02,4.900000000000000000e+01
1.137500000000000000e+02,4.175000000000000239e-02,4.900000000000000000e+01
1.144843750000000000e+02,4.150000000000000216e-02,4.900000000000000000e+01
1.152031250000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.159375000000000000e+02,4.150000000000000216e-02,4.800000000000000000e+01
1.167187500000000000e+02,4.225000000000000283e-02,4.900000000000000000e+01
1.182031250000000000e+02,4.075000000000000150e-02,4.900000000000000000e+01
1.189531250000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.196718750000000000e+02,4.150000000000000216e-02,4.900000000000000000e+01
1.204062500000000000e+02,4.050000000000000128e-02,4.900000000000000000e+01
1.218750000000000000e+02,4.275000000000000328e-02,5.000000000000000000e+01
1.225937500000000000e+02,4.349999999999999700e-02,5.100000000000000000e+01
1.240468750000000000e+02,4.299999999999999656e-02,5.100000000000000000e+01
1.247812500000000000e+02,4.374999999999999722e-02,5.200000000000000000e+01
1.277500000000000000e+02,4.100000000000000172e-02,5.100000000000000000e+01
1.307500000000000000e+02,2.949999999999999845e-02,4.300000000000000000e+01
1.329218750000000000e+02,2.475000000000000117e-02,4.100000000000000000e+01
1.336562500000000000e+02,2.425000000000000072e-02,4.000000000000000000e+01
1.343906250000000000e+02,2.425000000000000072e-02,4.100000000000000000e+01
1.351250000000000000e+02,2.500000000000000139e-02,4.200000000000000000e+01
1.358593750000000000e+02,2.475000000000000117e-02,4.100000000000000000e+01
1.376250000000000000e+02,2.949999999999999845e-02,4.400000000000000000e+01
1.384375000000000000e+02,2.949999999999999845e-02,4.500000000000000000e+01
1.392343750000000000e+02,2.925000000000000169e-02,4.600000000000000000e+01
1.413437500000000000e+02,3.450000000000000289e-02,5.100000000000000000e+01
1.420781250000000000e+02,3.549999999999999684e-02,5.100000000000000000e+01
1.428281250000000000e+02,3.674999999999999795e-02,5.300000000000000000e+01
1.435937500000000000e+02,3.774999999999999883e-02,5.300000000000000000e+01
1.443437500000000000e+02,3.824999999999999928e-02,5.500000000000000000e+01
1.458437500000000000e+02,3.975000000000000061e-02,5.600000000000000000e+01
1.473125000000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.480468750000000000e+02,3.774999999999999883e-02,5.700000000000000000e+01
1.495781250000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.503281250000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.510781250000000000e+02,3.774999999999999883e-02,5.700000000000000000e+01
1.518281250000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.525468750000000000e+02,3.824999999999999928e-02,5.700000000000000000e+01
1.532968750000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.540312500000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.547812500000000000e+02,3.849999999999999950e-02,5.600000000000000000e+01
1.556562500000000000e+02,3.799999999999999906e-02,5.600000000000000000e+01
1.579843750000000000e+02,3.849999999999999950e-02,5.300000000000000000e+01
1.586718750000000000e+02,3.925000000000000017e-02,5.300000000000000000e+01
1.609218750000000000e+02,3.225000000000000089e-02,4.800000000000000000e+01
1.646875000000000000e+02,2.100000000000000130e-02,3.800000000000000000e+01
1.654531250000000000e+02,2.149999999999999828e-02,3.700000000000000000e+01
1.662031250000000000e+02,2.224999999999999895e-02,3.500000000000000000e+01
1.677031250000000000e+02,2.174999999999999850e-02,3.100000000000000000e+01
1.684531250000000000e+02,2.224999999999999895e-02,3.000000000000000000e+01
1.692031250000000000e+02,2.224999999999999895e-02,3.100000000000000000e+01
1.699531250000000000e+02,2.249999999999999917e-02,3.000000000000000000e+01
1.714375000000000000e+02,2.125000000000000153e-02,2.700000000000000000e+01
1.721718750000000000e+02,2.100000000000000130e-02,2.600000000000000000e+01
1.729218750000000000e+02,2.100000000000000130e-02,2.800000000000000000e+01
1.760625000000000000e+02,2.075000000000000108e-02,2.800000000000000000e+01
1.797968750000000000e+02,2.125000000000000153e-02,3.100000000000000000e+01
1.805468750000000000e+02,2.149999999999999828e-02,3.200000000000000000e+01
