angle_degrees,distance_meters,quality
1.562500000000000000e-02,9.637499999999999956e-01,2.800000000000000000e+01
7.187500000000000000e-01,9.652500000000000524e-01,2.700000000000000000e+01
1.421875000000000000e+00,9.657499999999999973e-01,2.800000000000000000e+01
2.125000000000000000e+00,9.665000000000000258e-01,2.700000000000000000e+01
2.890625000000000000e+00,9.682500000000000551e-01,2.500000000000000000e+01
3.609375000000000000e+00,9.695000000000000284e-01,2.500000000000000000e+01
4.328125000000000000e+00,9.705000000000000293e-01,2.400000000000000000e+01
5.046875000000000000e+00,9.719999999999999751e-01,2.200000000000000000e+01
5.656250000000000000e+00,9.742499999999999494e-01,2.100000000000000000e+01
6.343750000000000000e+00,9.759999999999999787e-01,2.100000000000000000e+01
7.031250000000000000e+00,9.779999999999999805e-01,1.900000000000000000e+01
7.718750000000000000e+00,9.805000000000000382e-01,1.900000000000000000e+01
8.484375000000000000e+00,9.842499999999999583e-01,1.900000000000000000e+01
9.187500000000000000e+00,9.892499999999999627e-01,1.700000000000000000e+01
9.890625000000000000e+00,9.927500000000000213e-01,1.600000000000000000e+01
1.059375000000000000e+01,9.957500000000000240e-01,1.700000000000000000e+01
1.148437500000000000e+01,9.995000000000000551e-01,1.500000000000000000e+01
1.048125000000000000e+02,5.999999999999999778e-02,5.400000000000000000e+01
1.055156250000000000e+02,5.949999999999999734e-02,5.400000000000000000e+01
1.062187500000000000e+02,5.999999999999999778e-02,5.500000000000000000e+01
1.083750000000000000e+02,5.525000000000000050e-02,5.200000000000000000e+01
1.097968750000000000e+02,5.099999999999999672e-02,5.100000000000000000e+01
1.105000000000000000e+02,5.099999999999999672e-02,5.000000000000000000e+01
1.112187500000000000e+02,5.000000000000000278e-02,5.000000000000000000e+01
1.119218750000000000e+02,4.950000000000000233e-02,5.100000000000000000e+01
1.133125000000000000e+02,4.700000000000000011e-02,5.000000000000000000e+01
1.147187500000000000e+02,4.424999999999999767e-02,4.900000000000000000e+01
1.154218750000000000e+02,4.399999999999999745e-02,4.900000000000000000e+01
1.161562500000000000e+02,4.349999999999999700e-02,4.800000000000000000e+01
1.168750000000000000e+02,4.324999999999999678e-02,4.800000000000000000e+01
1.175781250000000000e+02,4.349999999999999700e-02,4.800000000000000000e+01
1.182968750000000000e+02,4.324999999999999678e-02,4.800000000000000000e+01
1.189687500000000000e+02,4.324999999999999678e-02,4.800000000000000000e+01
1.196718750000000000e+02,4.324999999999999678e-02,4.800000000000000000e+01
1.223906250000000000e+02,4.474999999999999811e-02,5.000000000000000000e+01
1.230625000000000000e+02,4.474999999999999811e-02,5.000000000000000000e+01
1.237500000000000000e+02,4.524999999999999856e-02,5.000000000000000000e+01
1.245000000000000000e+02,4.599999999999999922e-02,5.100000000000000000e+01
1.252031250000000000e+02,4.549999999999999878e-02,5.200000000000000000e+01
1.258906250000000000e+02,4.549999999999999878e-02,5.200000000000000000e+01
1.265937500000000000e+02,4.524999999999999856e-02,5.200000000000000000e+01
1.273125000000000000e+02,4.399999999999999745e-02,5.200000000000000000e+01
1.280156250000000000e+02,4.275000000000000328e-02,5.100000000000000000e+01
1.315468750000000000e+02,2.949999999999999845e-02,4.200000000000000000e+01
1.336406250000000000e+02,2.800000000000000058e-02,4.100000000000000000e+01
1.343281250000000000e+02,2.775000000000000036e-02,4.100000000000000000e+01
1.350312500000000000e+02,2.825000000000000080e-02,4.200000000000000000e+01
1.357656250000000000e+02,2.875000000000000125e-02,4.200000000000000000e+01
1.378750000000000000e+02,2.999999999999999889e-02,4.400000000000000000e+01
1.395000000000000000e+02,3.350000000000000200e-02,4.700000000000000000e+01
1.402343750000000000e+02,3.375000000000000222e-02,4.800000000000000000e+01
1.415625000000000000e+02,3.749999999999999861e-02,5.000000000000000000e+01
1.422656250000000000e+02,3.774999999999999883e-02,5.100000000000000000e+01
1.436718750000000000e+02,4.100000000000000172e-02,5.300000000000000000e+01
1.444062500000000000e+02,4.075000000000000150e-02,5.500000000000000000e+01
1.451250000000000000e+02,4.050000000000000128e-02,5.500000000000000000e+01
1.458281250000000000e+02,4.100000000000000172e-02,5.600000000000000000e+01
1.465468750000000000e+02,4.150000000000000216e-02,5.600000000000000000e+01
1.472343750000000000e+02,4.075000000000000150e-02,5.700000000000000000e+01
1.479375000000000000e+02,4.050000000000000128e-02,5.700000000000000000e+01
1.486406250000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.493437500000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.508125000000000000e+02,4.175000000000000239e-02,5.800000000000000000e+01
1.515156250000000000e+02,4.200000000000000261e-02,5.800000000000000000e+01
1.522343750000000000e+02,4.175000000000000239e-02,5.700000000000000000e+01
1.529062500000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.536093750000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.543125000000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.550156250000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.557500000000000000e+02,4.050000000000000128e-02,5.600000000000000000e+01
1.564687500000000000e+02,4.175000000000000239e-02,5.500000000000000000e+01
1.571718750000000000e+02,4.200000000000000261e-02,5.500000000000000000e+01
1.585781250000000000e+02,3.975000000000000061e-02,5.300000000000000000e+01
1.592812500000000000e+02,4.050000000000000128e-02,5.300000000000000000e+01
1.656875000000000000e+02,2.299999999999999961e-02,3.800000000000000000e+01
1.664062500000000000e+02,2.324999999999999983e-02,3.600000000000000000e+01
1.670781250000000000e+02,2.375000000000000028e-02,3.400000000000000000e+01
1.677812500000000000e+02,2.350000000000000006e-02,3.100000000000000000e+01
1.699375000000000000e+02,2.249999999999999917e-02,3.000000000000000000e+01
1.741562500000000000e+02,2.425000000000000072e-02,2.900000000000000000e+01
1.748593750000000000e+02,2.425000000000000072e-02,2.900000000000000000e+01
1.755312500000000000e+02,2.350000000000000006e-02,3.000000000000000000e+01
1.769218750000000000e+02,2.149999999999999828e-02,3.200000000000000000e+01
1.783750000000000000e+02,2.274999999999999939e-02,3.300000000000000000e+01
1.805156250000000000e+02,2.299999999999999961e-02,3.400000000000000000e+01
1.811718750000000000e+02,2.299999999999999961e-02,3.400000000000000000e+01
1.818750000000000000e+02,2.224999999999999895e-02,3.500000000000000000e+01
1.840156250000000000e+02,2.199999999999999872e-02,3.700000000000000000e+01
