angle_degrees,distance_meters,quality
2.656250000000000000e-01,4.565000000000000169e-01,4.400000000000000000e+01
1.531250000000000000e+02,3.724999999999999839e-02,5.700000000000000000e+01
1.538750000000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.546093750000000000e+02,3.749999999999999861e-02,5.600000000000000000e+01
1.553593750000000000e+02,3.749999999999999861e-02,5.600000000000000000e+01
1.560937500000000000e+02,3.724999999999999839e-02,5.500000000000000000e+01
1.568437500000000000e+02,3.699999999999999817e-02,5.500000000000000000e+01
1.577187500000000000e+02,3.724999999999999839e-02,5.300000000000000000e+01
1.585000000000000000e+02,3.749999999999999861e-02,5.300000000000000000e+01
1.600468750000000000e+02,3.574999999999999706e-02,5.000000000000000000e+01
1.615156250000000000e+02,3.150000000000000022e-02,4.700000000000000000e+01
1.645468750000000000e+02,2.075000000000000108e-02,3.900000000000000000e+01
1.675312500000000000e+02,2.199999999999999872e-02,3.100000000000000000e+01
1.682812500000000000e+02,2.249999999999999917e-02,3.100000000000000000e+01
1.721093750000000000e+02,2.100000000000000130e-02,2.700000000000000000e+01
1.728281250000000000e+02,2.025000000000000064e-02,2.700000000000000000e+01
1.750781250000000000e+02,2.050000000000000086e-02,2.900000000000000000e+01
1.789218750000000000e+02,2.025000000000000064e-02,3.200000000000000000e+01
1.796875000000000000e+02,2.050000000000000086e-02,3.100000000000000000e+01
1.887812500000000000e+02,2.174999999999999850e-02,4.000000000000000000e+01
1.902968750000000000e+02,2.624999999999999903e-02,4.400000000000000000e+01
1.921718750000000000e+02,3.300000000000000155e-02,5.000000000000000000e+01
1.938281250000000000e+02,3.699999999999999817e-02,5.200000000000000000e+01
1.959375000000000000e+02,3.849999999999999950e-02,5.500000000000000000e+01
1.967031250000000000e+02,3.874999999999999972e-02,5.600000000000000000e+01
1.974531250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.982187500000000000e+02,3.874999999999999972e-02,5.800000000000000000e+01
1.989687500000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
1.997343750000000000e+02,3.824999999999999928e-02,5.800000000000000000e+01
2.005468750000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.013281250000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.020937500000000000e+02,3.724999999999999839e-02,5.800000000000000000e+01
2.028750000000000000e+02,3.699999999999999817e-02,5.800000000000000000e+01
2.036406250000000000e+02,3.674999999999999795e-02,5.800000000000000000e+01
2.044218750000000000e+02,3.724999999999999839e-02,5.800000000000000000e+01
2.051875000000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.059687500000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.066875000000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.082031250000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.089687500000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.097343750000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
