angle_degrees,distance_meters,quality
3.572968750000000000e+02,9.637499999999999956e-01,2.900000000000000000e+01
3.581093750000000000e+02,9.639999999999999680e-01,2.900000000000000000e+01
3.589062500000000000e+02,9.637499999999999956e-01,2.800000000000000000e+01
3.597187500000000000e+02,9.629999999999999671e-01,2.800000000000000000e+01
5.156250000000000000e-01,9.625000000000000222e-01,2.600000000000000000e+01
1.328125000000000000e+00,9.632500000000000506e-01,2.700000000000000000e+01
2.125000000000000000e+00,9.652500000000000524e-01,2.700000000000000000e+01
2.937500000000000000e+00,9.672500000000000542e-01,2.600000000000000000e+01
3.734375000000000000e+00,9.692499999999999449e-01,2.500000000000000000e+01
4.546875000000000000e+00,9.709999999999999742e-01,2.300000000000000000e+01
5.343750000000000000e+00,9.725000000000000311e-01,2.200000000000000000e+01
6.156250000000000000e+00,9.742499999999999494e-01,2.100000000000000000e+01
6.937500000000000000e+00,9.765000000000000346e-01,2.000000000000000000e+01
7.734375000000000000e+00,9.792499999999999538e-01,1.900000000000000000e+01
8.531250000000000000e+00,9.817500000000000115e-01,1.800000000000000000e+01
9.328125000000000000e+00,9.867500000000000160e-01,1.800000000000000000e+01
1.015625000000000000e+01,9.932499999999999662e-01,1.700000000000000000e+01
1.096875000000000000e+01,9.975000000000000533e-01,1.600000000000000000e+01
1.022343750000000000e+02,4.474999999999999811e-02,3.900000000000000000e+01
1.039062500000000000e+02,5.575000000000000094e-02,5.100000000000000000e+01
1.047031250000000000e+02,5.675000000000000183e-02,5.300000000000000000e+01
1.055156250000000000e+02,5.650000000000000161e-02,5.300000000000000000e+01
1.062656250000000000e+02,5.625000000000000139e-02,5.400000000000000000e+01
1.070625000000000000e+02,5.575000000000000094e-02,5.400000000000000000e+01
1.078437500000000000e+02,5.550000000000000072e-02,5.300000000000000000e+01
1.102968750000000000e+02,4.950000000000000233e-02,5.100000000000000000e+01
1.110937500000000000e+02,4.900000000000000189e-02,5.000000000000000000e+01
1.126562500000000000e+02,4.574999999999999900e-02,4.900000000000000000e+01
1.142343750000000000e+02,4.324999999999999678e-02,4.900000000000000000e+01
1.150312500000000000e+02,4.324999999999999678e-02,4.900000000000000000e+01
1.158750000000000000e+02,4.275000000000000328e-02,4.800000000000000000e+01
1.166875000000000000e+02,4.225000000000000283e-02,4.800000000000000000e+01
1.174843750000000000e+02,4.200000000000000261e-02,4.800000000000000000e+01
1.182968750000000000e+02,4.175000000000000239e-02,4.900000000000000000e+01
1.190468750000000000e+02,4.250000000000000305e-02,4.800000000000000000e+01
1.198437500000000000e+02,4.275000000000000328e-02,4.900000000000000000e+01
1.220625000000000000e+02,4.324999999999999678e-02,5.000000000000000000e+01
1.228125000000000000e+02,4.449999999999999789e-02,5.000000000000000000e+01
1.235625000000000000e+02,4.499999999999999833e-02,5.100000000000000000e+01
1.243125000000000000e+02,4.549999999999999878e-02,5.200000000000000000e+01
1.252500000000000000e+02,4.549999999999999878e-02,5.200000000000000000e+01
1.260468750000000000e+02,4.524999999999999856e-02,5.300000000000000000e+01
1.268437500000000000e+02,4.474999999999999811e-02,5.200000000000000000e+01
1.276406250000000000e+02,4.374999999999999722e-02,5.200000000000000000e+01
1.323437500000000000e+02,2.825000000000000080e-02,4.100000000000000000e+01
1.331250000000000000e+02,2.825000000000000080e-02,4.100000000000000000e+01
1.347500000000000000e+02,2.624999999999999903e-02,4.000000000000000000e+01
1.371406250000000000e+02,2.875000000000000125e-02,4.400000000000000000e+01
1.388750000000000000e+02,2.999999999999999889e-02,4.500000000000000000e+01
1.405156250000000000e+02,3.350000000000000200e-02,4.800000000000000000e+01
1.420000000000000000e+02,3.724999999999999839e-02,5.100000000000000000e+01
1.427812500000000000e+02,3.699999999999999817e-02,5.200000000000000000e+01
1.444062500000000000e+02,3.925000000000000017e-02,5.400000000000000000e+01
1.452031250000000000e+02,3.975000000000000061e-02,5.500000000000000000e+01
1.460000000000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
1.467968750000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.476093750000000000e+02,3.925000000000000017e-02,5.700000000000000000e+01
1.484062500000000000e+02,3.925000000000000017e-02,5.700000000000000000e+01
1.492031250000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.500000000000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.507656250000000000e+02,4.025000000000000105e-02,5.700000000000000000e+01
1.515625000000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
1.523437500000000000e+02,4.000000000000000083e-02,5.700000000000000000e+01
1.531406250000000000e+02,3.975000000000000061e-02,5.700000000000000000e+01
1.539687500000000000e+02,3.950000000000000039e-02,5.700000000000000000e+01
1.547656250000000000e+02,3.925000000000000017e-02,5.700000000000000000e+01
1.555625000000000000e+02,3.899999999999999994e-02,5.600000000000000000e+01
1.563593750000000000e+02,3.925000000000000017e-02,5.600000000000000000e+01
1.586718750000000000e+02,3.899999999999999994e-02,5.300000000000000000e+01
1.594531250000000000e+02,3.874999999999999972e-02,5.200000000000000000e+01
1.610937500000000000e+02,3.724999999999999839e-02,5.100000000000000000e+01
1.658281250000000000e+02,2.199999999999999872e-02,3.700000000000000000e+01
1.682343750000000000e+02,2.274999999999999939e-02,3.200000000000000000e+01
1.690312500000000000e+02,2.299999999999999961e-02,3.000000000000000000e+01
1.714375000000000000e+02,2.324999999999999983e-02,2.900000000000000000e+01
1.722343750000000000e+02,2.400000000000000050e-02,2.900000000000000000e+01
1.730000000000000000e+02,2.425000000000000072e-02,2.800000000000000000e+01
1.761093750000000000e+02,2.375000000000000028e-02,3.100000000000000000e+01
1.768906250000000000e+02,2.274999999999999939e-02,3.200000000000000000e+01
1.776562500000000000e+02,2.224999999999999895e-02,3.300000000000000000e+01
1.784375000000000000e+02,2.249999999999999917e-02,3.300000000000000000e+01
1.792500000000000000e+02,2.249999999999999917e-02,3.300000000000000000e+01
1.808125000000000000e+02,2.100000000000000130e-02,3.400000000000000000e+01
1.840000000000000000e+02,2.224999999999999895e-02,3.600000000000000000e+01
1.847968750000000000e+02,2.199999999999999872e-02,3.600000000000000000e+01
1.855937500000000000e+02,2.224999999999999895e-02,3.800000000000000000e+01
1.879687500000000000e+02,2.174999999999999850e-02,3.900000000000000000e+01
1.903281250000000000e+02,2.925000000000000169e-02,4.500000000000000000e+01
1.945625000000000000e+02,4.075000000000000150e-02,5.400000000000000000e+01
1.952500000000000000e+02,4.150000000000000216e-02,5.400000000000000000e+01
1.960468750000000000e+02,4.200000000000000261e-02,5.500000000000000000e+01
1.968281250000000000e+02,4.200000000000000261e-02,5.700000000000000000e+01
1.976250000000000000e+02,4.150000000000000216e-02,5.700000000000000000e+01
1.984531250000000000e+02,4.150000000000000216e-02,5.700000000000000000e+01
1.992500000000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.000468750000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.008437500000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.016718750000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.024843750000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.032812500000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.040937500000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
2.048281250000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.056250000000000000e+02,4.075000000000000150e-02,5.800000000000000000e+01
2.064062500000000000e+02,4.075000000000000150e-02,5.800000000000000000e+01
2.080312500000000000e+02,4.299999999999999656e-02,5.800000000000000000e+01
2.088281250000000000e+02,4.324999999999999678e-02,5.800000000000000000e+01
2.096250000000000000e+02,4.324999999999999678e-02,5.800000000000000000e+01
2.104218750000000000e+02,4.324999999999999678e-02,5.800000000000000000e+01
2.110468750000000000e+02,4.275000000000000328e-02,5.800000000000000000e+01
2.117968750000000000e+02,4.225000000000000283e-02,5.800000000000000000e+01
2.125468750000000000e+02,4.175000000000000239e-02,5.800000000000000000e+01
2.132968750000000000e+02,4.150000000000000216e-02,5.800000000000000000e+01
2.150156250000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.157968750000000000e+02,3.899999999999999994e-02,5.900000000000000000e+01
2.165937500000000000e+02,3.874999999999999972e-02,5.800000000000000000e+01
2.173593750000000000e+02,3.824999999999999928e-02,5.900000000000000000e+01
2.181406250000000000e+02,3.824999999999999928e-02,5.800000000000000000e+01
2.197031250000000000e+02,3.649999999999999772e-02,5.800000000000000000e+01
2.213437500000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.221406250000000000e+02,4.000000000000000083e-02,5.800000000000000000e+01
2.252968750000000000e+02,4.424999999999999767e-02,5.500000000000000000e+01
2.260937500000000000e+02,4.474999999999999811e-02,5.500000000000000000e+01
2.268593750000000000e+02,4.474999999999999811e-02,5.400000000000000000e+01
2.276406250000000000e+02,4.574999999999999900e-02,5.400000000000000000e+01
2.284218750000000000e+02,4.674999999999999989e-02,5.300000000000000000e+01
2.292031250000000000e+02,4.750000000000000056e-02,5.300000000000000000e+01
2.299531250000000000e+02,4.825000000000000122e-02,5.300000000000000000e+01
2.307343750000000000e+02,4.825000000000000122e-02,5.300000000000000000e+01
2.322812500000000000e+02,4.649999999999999967e-02,5.100000000000000000e+01
2.354843750000000000e+02,3.849999999999999950e-02,4.300000000000000000e+01
2.378125000000000000e+02,4.624999999999999944e-02,4.800000000000000000e+01
2.394062500000000000e+02,4.875000000000000167e-02,4.900000000000000000e+01
2.433281250000000000e+02,3.574999999999999706e-02,4.300000000000000000e+01
2.441093750000000000e+02,3.624999999999999750e-02,4.200000000000000000e+01
2.448906250000000000e+02,3.624999999999999750e-02,4.200000000000000000e+01
2.464218750000000000e+02,3.524999999999999661e-02,3.500000000000000000e+01
2.471875000000000000e+02,3.574999999999999706e-02,3.000000000000000000e+01
2.479687500000000000e+02,3.624999999999999750e-02,2.700000000000000000e+01
2.527187500000000000e+02,5.777499999999999858e-01,2.600000000000000000e+01
2.550468750000000000e+02,7.489999999999999991e-01,2.600000000000000000e+01
2.558281250000000000e+02,7.465000000000000524e-01,2.800000000000000000e+01
2.573906250000000000e+02,6.079999999999999849e-01,3.500000000000000000e+01
2.589531250000000000e+02,6.327500000000000346e-01,3.700000000000000000e+01
2.597343750000000000e+02,6.270000000000000018e-01,3.600000000000000000e+01
2.636562500000000000e+02,5.407499999999999529e-01,3.100000000000000000e+01
2.645468750000000000e+02,5.287500000000000533e-01,3.400000000000000000e+01
2.653593750000000000e+02,5.217500000000000471e-01,3.700000000000000000e+01
2.661562500000000000e+02,5.184999999999999609e-01,3.900000000000000000e+01
2.669687500000000000e+02,5.174999999999999600e-01,3.800000000000000000e+01
2.676093750000000000e+02,5.210000000000000187e-01,3.200000000000000000e+01
2.691406250000000000e+02,5.867499999999999938e-01,3.900000000000000000e+01
2.699062500000000000e+02,5.817499999999999893e-01,4.000000000000000000e+01
2.707500000000000000e+02,5.777499999999999858e-01,3.900000000000000000e+01
2.715312500000000000e+02,5.745000000000000107e-01,3.800000000000000000e+01
2.723125000000000000e+02,5.699999999999999512e-01,3.900000000000000000e+01
2.730937500000000000e+02,5.645000000000000018e-01,3.800000000000000000e+01
2.738906250000000000e+02,5.592500000000000249e-01,3.800000000000000000e+01
2.746718750000000000e+02,5.552500000000000213e-01,3.600000000000000000e+01
2.754531250000000000e+02,5.552500000000000213e-01,3.800000000000000000e+01
2.762343750000000000e+02,5.574999999999999956e-01,4.000000000000000000e+01
2.770312500000000000e+02,5.534999999999999920e-01,3.900000000000000000e+01
2.778125000000000000e+02,5.492500000000000160e-01,3.800000000000000000e+01
2.785937500000000000e+02,5.507499999999999618e-01,3.800000000000000000e+01
2.793750000000000000e+02,5.524999999999999911e-01,3.800000000000000000e+01
2.801718750000000000e+02,5.557499999999999662e-01,3.400000000000000000e+01
2.809531250000000000e+02,5.622500000000000275e-01,3.900000000000000000e+01
2.817343750000000000e+02,5.677499999999999769e-01,4.100000000000000000e+01
2.825156250000000000e+02,5.695000000000000062e-01,3.800000000000000000e+01
2.832812500000000000e+02,5.709999999999999520e-01,3.600000000000000000e+01
2.840625000000000000e+02,5.775000000000000133e-01,3.200000000000000000e+01
2.887656250000000000e+02,3.902499999999999858e-01,4.700000000000000000e+01
2.895468750000000000e+02,3.902499999999999858e-01,4.800000000000000000e+01
2.903281250000000000e+02,3.895000000000000129e-01,4.800000000000000000e+01
2.911093750000000000e+02,3.890000000000000124e-01,4.700000000000000000e+01
2.918906250000000000e+02,3.877499999999999836e-01,4.700000000000000000e+01
2.926718750000000000e+02,3.870000000000000107e-01,4.800000000000000000e+01
2.934531250000000000e+02,3.865000000000000102e-01,4.800000000000000000e+01
2.942343750000000000e+02,3.857499999999999818e-01,4.800000000000000000e+01
2.950156250000000000e+02,3.847499999999999809e-01,4.900000000000000000e+01
2.957968750000000000e+02,3.842499999999999805e-01,4.900000000000000000e+01
2.965781250000000000e+02,3.837499999999999800e-01,4.900000000000000000e+01
2.973593750000000000e+02,3.830000000000000071e-01,4.800000000000000000e+01
2.981406250000000000e+02,3.830000000000000071e-01,4.800000000000000000e+01
2.989375000000000000e+02,3.825000000000000067e-01,4.800000000000000000e+01
2.997187500000000000e+02,3.817499999999999782e-01,4.800000000000000000e+01
3.005000000000000000e+02,3.825000000000000067e-01,4.800000000000000000e+01
3.012812500000000000e+02,3.845000000000000084e-01,4.200000000000000000e+01
3.020625000000000000e+02,3.870000000000000107e-01,3.400000000000000000e+01
3.028437500000000000e+02,3.942499999999999893e-01,3.200000000000000000e+01
3.067500000000000000e+02,4.804999999999999827e-01,5.300000000000000000e+01
3.075312500000000000e+02,4.834999999999999853e-01,5.200000000000000000e+01
3.083125000000000000e+02,4.832500000000000129e-01,4.700000000000000000e+01
3.090937500000000000e+02,4.789999999999999813e-01,4.400000000000000000e+01
3.098750000000000000e+02,4.739999999999999769e-01,4.300000000000000000e+01
3.106562500000000000e+02,4.712500000000000022e-01,4.300000000000000000e+01
3.114375000000000000e+02,4.704999999999999738e-01,4.400000000000000000e+01
3.122187500000000000e+02,4.687500000000000000e-01,4.400000000000000000e+01
3.130000000000000000e+02,4.672499999999999987e-01,4.400000000000000000e+01
3.137812500000000000e+02,4.662499999999999978e-01,4.400000000000000000e+01
3.145625000000000000e+02,4.657499999999999973e-01,4.400000000000000000e+01
3.153437500000000000e+02,4.647499999999999964e-01,4.400000000000000000e+01
3.161250000000000000e+02,4.632499999999999951e-01,4.400000000000000000e+01
3.169062500000000000e+02,4.650000000000000244e-01,4.400000000000000000e+01
3.176562500000000000e+02,4.677499999999999991e-01,4.600000000000000000e+01
3.184375000000000000e+02,4.677499999999999991e-01,4.400000000000000000e+01
3.192031250000000000e+02,4.672499999999999987e-01,4.400000000000000000e+01
3.199843750000000000e+02,4.667499999999999982e-01,4.400000000000000000e+01
3.207812500000000000e+02,4.660000000000000253e-01,4.400000000000000000e+01
3.215625000000000000e+02,4.652499999999999969e-01,4.500000000000000000e+01
3.223437500000000000e+02,4.647499999999999964e-01,4.500000000000000000e+01
3.231250000000000000e+02,4.657499999999999973e-01,4.600000000000000000e+01
3.238906250000000000e+02,4.667499999999999982e-01,4.600000000000000000e+01
3.246718750000000000e+02,4.667499999999999982e-01,4.700000000000000000e+01
3.254375000000000000e+02,4.645000000000000240e-01,4.600000000000000000e+01
3.262187500000000000e+02,4.610000000000000209e-01,4.600000000000000000e+01
3.270156250000000000e+02,4.605000000000000204e-01,4.600000000000000000e+01
3.277968750000000000e+02,4.617499999999999938e-01,4.600000000000000000e+01
3.285781250000000000e+02,4.625000000000000222e-01,4.500000000000000000e+01
3.293593750000000000e+02,4.632499999999999951e-01,4.600000000000000000e+01
3.301406250000000000e+02,4.650000000000000244e-01,4.600000000000000000e+01
3.309218750000000000e+02,4.657499999999999973e-01,4.500000000000000000e+01
3.317031250000000000e+02,4.662499999999999978e-01,4.500000000000000000e+01
3.324843750000000000e+02,4.677499999999999991e-01,4.500000000000000000e+01
3.332656250000000000e+02,4.702500000000000013e-01,4.500000000000000000e+01
3.340468750000000000e+02,4.724999999999999756e-01,4.600000000000000000e+01
3.348281250000000000e+02,4.739999999999999769e-01,4.600000000000000000e+01
3.356093750000000000e+02,4.769999999999999796e-01,4.900000000000000000e+01
3.363906250000000000e+02,4.769999999999999796e-01,5.300000000000000000e+01
3.402812500000000000e+02,3.767499999999999738e-01,4.600000000000000000e+01
3.410468750000000000e+02,3.765000000000000013e-01,4.500000000000000000e+01
3.418281250000000000e+02,3.787499999999999756e-01,4.500000000000000000e+01
3.426093750000000000e+02,3.815000000000000058e-01,4.500000000000000000e+01
3.433906250000000000e+02,3.850000000000000089e-01,4.500000000000000000e+01
3.441562500000000000e+02,3.870000000000000107e-01,4.500000000000000000e+01
3.449375000000000000e+02,3.900000000000000133e-01,4.500000000000000000e+01
3.457343750000000000e+02,3.935000000000000164e-01,4.500000000000000000e+01
3.465156250000000000e+02,3.970000000000000195e-01,4.400000000000000000e+01
3.472968750000000000e+02,4.000000000000000222e-01,4.400000000000000000e+01
3.480781250000000000e+02,4.025000000000000244e-01,4.300000000000000000e+01
3.488437500000000000e+02,4.062500000000000000e-01,4.300000000000000000e+01
3.496250000000000000e+02,4.104999999999999760e-01,4.100000000000000000e+01
3.503906250000000000e+02,4.144999999999999796e-01,4.100000000000000000e+01
3.511718750000000000e+02,4.157500000000000084e-01,2.600000000000000000e+01
3.527500000000000000e+02,9.649999999999999689e-01,2.400000000000000000e+01
3.535312500000000000e+02,9.655000000000000249e-01,2.600000000000000000e+01
3.543125000000000000e+02,9.645000000000000240e-01,2.700000000000000000e+01
3.550312500000000000e+02,9.635000000000000231e-01,2.800000000000000000e+01
3.557968750000000000e+02,9.627499999999999947e-01,2.800000000000000000e+01
3.565625000000000000e+02,9.632500000000000506e-01,2.900000000000000000e+01
3.573281250000000000e+02,9.637499999999999956e-01,2.900000000000000000e+01
