angle_degrees,distance_meters,quality
3.584843750000000000e+02,2.560000000000000053e-01,5.100000000000000000e+01
1.961093750000000000e+02,4.050000000000000128e-02,5.500000000000000000e+01
1.969062500000000000e+02,4.000000000000000083e-02,5.700000000000000000e+01
1.977187500000000000e+02,3.925000000000000017e-02,5.700000000000000000e+01
2.002343750000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.019062500000000000e+02,3.749999999999999861e-02,5.800000000000000000e+01
2.027343750000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
2.035625000000000000e+02,3.774999999999999883e-02,5.800000000000000000e+01
2.043906250000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
2.051875000000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
2.060156250000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.068281250000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.076562500000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.093125000000000000e+02,4.125000000000000194e-02,5.800000000000000000e+01
2.101250000000000000e+02,4.075000000000000150e-02,5.800000000000000000e+01
2.109531250000000000e+02,4.100000000000000172e-02,5.800000000000000000e+01
2.117187500000000000e+02,4.050000000000000128e-02,5.800000000000000000e+01
2.125312500000000000e+02,3.950000000000000039e-02,5.800000000000000000e+01
2.133281250000000000e+02,3.899999999999999994e-02,5.900000000000000000e+01
2.158437500000000000e+02,3.624999999999999750e-02,5.900000000000000000e+01
2.174843750000000000e+02,3.524999999999999661e-02,5.900000000000000000e+01
2.182812500000000000e+02,3.549999999999999684e-02,5.900000000000000000e+01
2.190937500000000000e+02,3.450000000000000289e-02,5.800000000000000000e+01
2.199062500000000000e+02,3.450000000000000289e-02,5.900000000000000000e+01
2.215781250000000000e+02,3.899999999999999994e-02,5.800000000000000000e+01
2.224062500000000000e+02,3.925000000000000017e-02,5.800000000000000000e+01
2.240468750000000000e+02,4.125000000000000194e-02,5.600000000000000000e+01
2.248750000000000000e+02,4.150000000000000216e-02,5.600000000000000000e+01
2.257031250000000000e+02,4.250000000000000305e-02,5.500000000000000000e+01
2.265156250000000000e+02,4.374999999999999722e-02,5.400000000000000000e+01
2.273437500000000000e+02,4.424999999999999767e-02,5.400000000000000000e+01
2.282187500000000000e+02,4.449999999999999789e-02,5.400000000000000000e+01
2.290625000000000000e+02,4.549999999999999878e-02,5.400000000000000000e+01
2.298906250000000000e+02,4.649999999999999967e-02,5.300000000000000000e+01
2.315312500000000000e+02,4.449999999999999789e-02,5.100000000000000000e+01
2.323593750000000000e+02,4.374999999999999722e-02,5.000000000000000000e+01
2.331875000000000000e+02,4.275000000000000328e-02,4.900000000000000000e+01
2.397343750000000000e+02,4.424999999999999767e-02,4.800000000000000000e+01
2.430781250000000000e+02,3.275000000000000133e-02,4.200000000000000000e+01
2.447031250000000000e+02,3.475000000000000311e-02,4.200000000000000000e+01
2.471718750000000000e+02,3.549999999999999684e-02,3.100000000000000000e+01
2.480312500000000000e+02,3.599999999999999728e-02,2.600000000000000000e+01
2.488593750000000000e+02,3.649999999999999772e-02,2.400000000000000000e+01
2.513593750000000000e+02,6.390000000000000124e-01,2.200000000000000000e+01
2.521875000000000000e+02,6.352499999999999813e-01,2.400000000000000000e+01
2.530156250000000000e+02,6.312499999999999778e-01,2.700000000000000000e+01
2.538437500000000000e+02,6.280000000000000027e-01,2.800000000000000000e+01
2.546718750000000000e+02,6.250000000000000000e-01,2.000000000000000000e+01
2.563281250000000000e+02,3.972499999999999920e-01,4.000000000000000000e+01
2.571562500000000000e+02,3.970000000000000195e-01,4.300000000000000000e+01
2.579687500000000000e+02,3.982499999999999929e-01,4.500000000000000000e+01
2.587968750000000000e+02,4.002499999999999947e-01,4.700000000000000000e+01
2.596093750000000000e+02,4.015000000000000235e-01,4.800000000000000000e+01
2.604375000000000000e+02,4.010000000000000231e-01,5.000000000000000000e+01
2.612812500000000000e+02,3.992499999999999938e-01,4.800000000000000000e+01
2.621093750000000000e+02,3.942499999999999893e-01,4.500000000000000000e+01
2.629375000000000000e+02,3.937499999999999889e-01,4.000000000000000000e+01
2.656406250000000000e+02,4.339999999999999969e-01,4.800000000000000000e+01
2.665000000000000000e+02,4.352500000000000258e-01,5.000000000000000000e+01
2.673750000000000000e+02,4.297500000000000209e-01,4.000000000000000000e+01
2.689062500000000000e+02,4.445000000000000062e-01,4.000000000000000000e+01
2.697343750000000000e+02,4.405000000000000027e-01,4.200000000000000000e+01
2.705625000000000000e+02,4.357500000000000262e-01,4.200000000000000000e+01
2.714062500000000000e+02,4.287500000000000200e-01,4.200000000000000000e+01
2.722343750000000000e+02,4.247500000000000164e-01,4.300000000000000000e+01
2.730625000000000000e+02,4.199999999999999845e-01,4.500000000000000000e+01
2.738906250000000000e+02,4.154999999999999805e-01,4.300000000000000000e+01
2.747500000000000000e+02,4.154999999999999805e-01,4.200000000000000000e+01
2.755937500000000000e+02,4.169999999999999818e-01,4.100000000000000000e+01
2.764218750000000000e+02,4.162500000000000089e-01,4.000000000000000000e+01
2.772656250000000000e+02,4.172500000000000098e-01,3.900000000000000000e+01
2.780937500000000000e+02,4.214999999999999858e-01,3.800000000000000000e+01
2.789375000000000000e+02,4.244999999999999885e-01,3.500000000000000000e+01
2.806093750000000000e+02,4.490000000000000102e-01,4.800000000000000000e+01
2.815156250000000000e+02,4.477499999999999813e-01,4.800000000000000000e+01
2.823750000000000000e+02,4.450000000000000067e-01,4.300000000000000000e+01
2.832187500000000000e+02,4.497499999999999831e-01,3.900000000000000000e+01
2.840781250000000000e+02,4.600000000000000200e-01,4.600000000000000000e+01
2.848593750000000000e+02,4.645000000000000240e-01,4.500000000000000000e+01
2.857031250000000000e+02,4.640000000000000235e-01,3.300000000000000000e+01
2.873750000000000000e+02,4.819999999999999840e-01,2.000000000000000000e+00
3.236875000000000000e+02,2.374999999999999889e-01,4.100000000000000000e+01
3.245312500000000000e+02,2.342500000000000138e-01,4.300000000000000000e+01
3.253593750000000000e+02,2.330000000000000127e-01,4.500000000000000000e+01
3.262031250000000000e+02,2.317500000000000115e-01,4.500000000000000000e+01
3.270312500000000000e+02,2.305000000000000104e-01,4.600000000000000000e+01
3.278750000000000000e+02,2.285000000000000087e-01,4.600000000000000000e+01
3.287500000000000000e+02,2.247500000000000053e-01,4.600000000000000000e+01
3.295937500000000000e+02,2.227500000000000036e-01,4.700000000000000000e+01
3.304375000000000000e+02,2.215000000000000024e-01,4.700000000000000000e+01
3.312812500000000000e+02,2.200000000000000011e-01,4.700000000000000000e+01
3.321250000000000000e+02,2.179999999999999993e-01,4.800000000000000000e+01
3.329687500000000000e+02,2.164999999999999980e-01,4.800000000000000000e+01
3.338125000000000000e+02,2.149999999999999967e-01,4.700000000000000000e+01
3.346562500000000000e+02,2.132499999999999951e-01,4.800000000000000000e+01
3.356250000000000000e+02,2.124999999999999944e-01,4.900000000000000000e+01
3.365000000000000000e+02,2.107499999999999929e-01,4.900000000000000000e+01
3.373750000000000000e+02,2.097499999999999920e-01,4.900000000000000000e+01
3.382500000000000000e+02,2.087499999999999911e-01,4.800000000000000000e+01
3.390156250000000000e+02,2.074999999999999900e-01,4.900000000000000000e+01
3.398593750000000000e+02,2.072499999999999898e-01,4.900000000000000000e+01
3.407031250000000000e+02,2.062499999999999889e-01,4.900000000000000000e+01
