angle_degrees,distance_meters,quality
3.578125000000000000e+02,9.619999999999999662e-01,2.900000000000000000e+01
2.183906250000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.192031250000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.200312500000000000e+02,3.599999999999999728e-02,5.800000000000000000e+01
2.217187500000000000e+02,3.975000000000000061e-02,5.800000000000000000e+01
2.225468750000000000e+02,4.025000000000000105e-02,5.800000000000000000e+01
2.233750000000000000e+02,4.150000000000000216e-02,5.700000000000000000e+01
2.242031250000000000e+02,4.200000000000000261e-02,5.700000000000000000e+01
2.250312500000000000e+02,4.250000000000000305e-02,5.600000000000000000e+01
2.258593750000000000e+02,4.374999999999999722e-02,5.500000000000000000e+01
2.266875000000000000e+02,4.424999999999999767e-02,5.400000000000000000e+01
2.284843750000000000e+02,4.624999999999999944e-02,5.300000000000000000e+01
2.293281250000000000e+02,4.725000000000000033e-02,5.300000000000000000e+01
2.301875000000000000e+02,4.875000000000000167e-02,5.300000000000000000e+01
2.309375000000000000e+02,4.875000000000000167e-02,5.300000000000000000e+01
2.317656250000000000e+02,4.750000000000000056e-02,5.200000000000000000e+01
2.384843750000000000e+02,4.750000000000000056e-02,4.900000000000000000e+01
2.393125000000000000e+02,4.750000000000000056e-02,4.800000000000000000e+01
2.426093750000000000e+02,3.475000000000000311e-02,4.300000000000000000e+01
2.434375000000000000e+02,3.450000000000000289e-02,4.200000000000000000e+01
2.442968750000000000e+02,3.475000000000000311e-02,4.100000000000000000e+01
2.451406250000000000e+02,3.524999999999999661e-02,4.100000000000000000e+01
2.476562500000000000e+02,3.724999999999999839e-02,2.900000000000000000e+01
2.485000000000000000e+02,3.724999999999999839e-02,2.600000000000000000e+01
2.493281250000000000e+02,3.799999999999999906e-02,2.300000000000000000e+01
2.535312500000000000e+02,6.334999999999999520e-01,2.600000000000000000e+01
2.552187500000000000e+02,6.730000000000000426e-01,3.000000000000000000e+01
2.568906250000000000e+02,7.459999999999999964e-01,3.200000000000000000e+01
2.577187500000000000e+02,7.504999999999999449e-01,3.300000000000000000e+01
2.585625000000000000e+02,7.517500000000000293e-01,3.500000000000000000e+01
2.593906250000000000e+02,7.500000000000000000e-01,3.700000000000000000e+01
2.627343750000000000e+02,5.290000000000000258e-01,3.200000000000000000e+01
2.635781250000000000e+02,5.214999999999999636e-01,3.600000000000000000e+01
2.645937500000000000e+02,5.170000000000000151e-01,3.900000000000000000e+01
2.654843750000000000e+02,5.160000000000000142e-01,4.000000000000000000e+01
2.663593750000000000e+02,5.157500000000000417e-01,3.600000000000000000e+01
2.687968750000000000e+02,5.875000000000000222e-01,4.200000000000000000e+01
2.696250000000000000e+02,5.809999999999999609e-01,4.100000000000000000e+01
2.704687500000000000e+02,5.749999999999999556e-01,3.800000000000000000e+01
2.713125000000000000e+02,5.695000000000000062e-01,3.800000000000000000e+01
2.721562500000000000e+02,5.645000000000000018e-01,3.800000000000000000e+01
2.729843750000000000e+02,5.594999999999999973e-01,3.900000000000000000e+01
2.738281250000000000e+02,5.540000000000000480e-01,3.900000000000000000e+01
2.746875000000000000e+02,5.474999999999999867e-01,3.700000000000000000e+01
2.755312500000000000e+02,5.464999999999999858e-01,3.600000000000000000e+01
2.763750000000000000e+02,5.470000000000000417e-01,3.900000000000000000e+01
2.772187500000000000e+02,5.450000000000000400e-01,3.800000000000000000e+01
2.780625000000000000e+02,5.450000000000000400e-01,3.700000000000000000e+01
2.789062500000000000e+02,5.470000000000000417e-01,3.900000000000000000e+01
2.797500000000000000e+02,5.494999999999999885e-01,3.600000000000000000e+01
2.805937500000000000e+02,5.564999999999999947e-01,3.900000000000000000e+01
2.815156250000000000e+02,5.629999999999999449e-01,4.200000000000000000e+01
2.823750000000000000e+02,5.632500000000000284e-01,4.000000000000000000e+01
2.832343750000000000e+02,5.637499999999999734e-01,3.600000000000000000e+01
2.840937500000000000e+02,5.712500000000000355e-01,3.300000000000000000e+01
2.857500000000000000e+02,6.209999999999999964e-01,2.000000000000000000e+01
3.104843750000000000e+02,6.480000000000000204e-01,3.800000000000000000e+01
3.113437500000000000e+02,6.500000000000000222e-01,3.800000000000000000e+01
3.121718750000000000e+02,6.504999999999999671e-01,3.900000000000000000e+01
3.130156250000000000e+02,6.497500000000000497e-01,3.800000000000000000e+01
3.138593750000000000e+02,6.490000000000000213e-01,3.800000000000000000e+01
3.147031250000000000e+02,6.502499999999999947e-01,3.900000000000000000e+01
3.155781250000000000e+02,6.510000000000000231e-01,3.800000000000000000e+01
3.164375000000000000e+02,6.514999999999999680e-01,3.900000000000000000e+01
3.172812500000000000e+02,6.520000000000000240e-01,3.800000000000000000e+01
3.190781250000000000e+02,7.027499999999999858e-01,4.000000000000000000e+01
3.199531250000000000e+02,7.132500000000000506e-01,4.100000000000000000e+01
3.208281250000000000e+02,7.162500000000000533e-01,4.100000000000000000e+01
3.217031250000000000e+02,7.179999999999999716e-01,4.100000000000000000e+01
3.225000000000000000e+02,7.212499999999999467e-01,4.300000000000000000e+01
3.233593750000000000e+02,7.182500000000000551e-01,4.900000000000000000e+01
3.250625000000000000e+02,6.617499999999999494e-01,4.100000000000000000e+01
3.259062500000000000e+02,6.624999999999999778e-01,4.100000000000000000e+01
3.267656250000000000e+02,6.637499999999999512e-01,4.200000000000000000e+01
3.276093750000000000e+02,6.644999999999999796e-01,4.200000000000000000e+01
3.284687500000000000e+02,6.654999999999999805e-01,4.200000000000000000e+01
3.293281250000000000e+02,6.667499999999999538e-01,4.100000000000000000e+01
3.301875000000000000e+02,6.682500000000000107e-01,4.100000000000000000e+01
3.310312500000000000e+02,6.700000000000000400e-01,4.000000000000000000e+01
3.448750000000000000e+02,9.982499999999999707e-01,1.700000000000000000e+01
3.457343750000000000e+02,9.935000000000000497e-01,1.800000000000000000e+01
3.465937500000000000e+02,9.897500000000000187e-01,1.900000000000000000e+01
3.474531250000000000e+02,9.857500000000000151e-01,2.000000000000000000e+01
3.483125000000000000e+02,9.815000000000000391e-01,2.100000000000000000e+01
3.491718750000000000e+02,9.777500000000000080e-01,2.200000000000000000e+01
3.500312500000000000e+02,9.742499999999999494e-01,2.300000000000000000e+01
3.508906250000000000e+02,9.722499999999999476e-01,2.400000000000000000e+01
3.517500000000000000e+02,9.715000000000000302e-01,2.600000000000000000e+01
3.526093750000000000e+02,9.697500000000000009e-01,2.600000000000000000e+01
3.535312500000000000e+02,9.667499999999999982e-01,2.700000000000000000e+01
3.544062500000000000e+02,9.639999999999999680e-01,2.800000000000000000e+01
3.552812500000000000e+02,9.627499999999999947e-01,2.800000000000000000e+01
3.561562500000000000e+02,9.627499999999999947e-01,2.900000000000000000e+01
3.569687500000000000e+02,9.622500000000000497e-01,2.800000000000000000e+01
3.578281250000000000e+02,9.615000000000000213e-01,2.900000000000000000e+01
3.586875000000000000e+02,9.625000000000000222e-01,2.900000000000000000e+01
3.595468750000000000e+02,9.622500000000000497e-01,2.800000000000000000e+01
