scene,pair_id,ruler_distance_cm,gt_volume_cm3,dav2_gt_volume_cm3,dav2_volume_cm3,foundation_volume_cm3,opencv_volume_cm3
M_cardboard_box,001,20.0,4940.0,13175.1,18383.7,80313.3,628581.7
M_cardboardbox_30,000,20.0,4940.0,26657.5,0.0,55.5,37923.0
M_cardboard_box,002,25.0,4940.0,9934.1,19355.8,39932.7,172684.0
M_cardboardbox_30,001,25.0,4940.0,4645.7,4052.6,2883.5,115725.5
M_cardboard_box,003,50.0,4940.0,697.8,795.9,3731.6,1833.9
M_cardboardbox_30,002,50.0,4940.0,148.6,2525.2,1061.8,
M_cardboard_box,004,75.0,4940.0,580.4,87.9,1032.1,28536.2
M_cardboardbox_30,003,75.0,4940.0,15.0,0.0,30.1,686.3
M_cardboard_box,005,100.0,4940.0,1478.5,623.6,0.0,
M_cardboardbox_30,004,100.0,4940.0,13.5,2775.6,2605.4,149203.8
M_cardboard_box,000,,4940.0,,15829.3,40657.4,108979.0
