scene,method,distance_cm_bin,median_error_cm,count
L_carboard_box,OpenCV,30,47.116,4521
L_carboard_box,OpenCV,77,27.227,1079
L_carboard_box,OpenCV,95,46.327,1142
L_carboard_box,DA-V2,30,64.929,4521
L_carboard_box,DA-V2,77,6.609,1079
L_carboard_box,DA-V2,95,7.004,1142
L_carboard_box,DA-V2 GT,30,74.695,4521
L_carboard_box,DA-V2 GT,77,1.312,1079
L_carboard_box,DA-V2 GT,95,0.348,909
L_carboard_box,Foundation,30,74.622,4521
L_carboard_box,Foundation,77,9.636,1079
L_carboard_box,Foundation,95,4.925,1142
L_cardboard_box_30,OpenCV,30,50.154,558
L_cardboard_box_30,OpenCV,48,26.946,983
L_cardboard_box_30,OpenCV,77,5.258,219
L_cardboard_box_30,OpenCV,95,88.303,4692
L_cardboard_box_30,DA-V2,30,49.718,558
L_cardboard_box_30,DA-V2,48,42.676,983
L_cardboard_box_30,DA-V2,77,22.324,219
L_cardboard_box_30,DA-V2,95,39.321,4692
L_cardboard_box_30,DA-V2 GT,30,74.139,558
L_cardboard_box_30,DA-V2 GT,48,12.417,983
L_cardboard_box_30,DA-V2 GT,77,14.453,219
L_cardboard_box_30,DA-V2 GT,95,2.945,4692
L_cardboard_box_30,Foundation,30,60.237,558
L_cardboard_box_30,Foundation,48,42.386,983
L_cardboard_box_30,Foundation,77,20.354,219
L_cardboard_box_30,Foundation,95,36.092,4692
M_cardboard_box,OpenCV,25,81.755,13770
M_cardboard_box,OpenCV,55,4.231,5119
M_cardboard_box,OpenCV,75,18.245,3012
M_cardboard_box,OpenCV,95,61.788,3532
M_cardboard_box,DA-V2,25,73.743,13770
M_cardboard_box,DA-V2,55,22.631,5119
M_cardboard_box,DA-V2,75,5.464,3012
M_cardboard_box,DA-V2,95,8.474,3532
M_cardboard_box,DA-V2 GT,25,80.826,13770
M_cardboard_box,DA-V2 GT,55,14.220,5119
M_cardboard_box,DA-V2 GT,75,19.629,3012
M_cardboard_box,DA-V2 GT,95,1.116,2767
M_cardboard_box,Foundation,25,71.866,13770
M_cardboard_box,Foundation,55,31.024,5119
M_cardboard_box,Foundation,75,6.912,3012
M_cardboard_box,Foundation,95,9.700,3532
M_cardboardbox_30,OpenCV,25,31.866,4631
M_cardboardbox_30,OpenCV,55,3.791,4669
M_cardboardbox_30,OpenCV,75,4.471,54
M_cardboardbox_30,OpenCV,95,48.335,4449
M_cardboardbox_30,DA-V2,25,60.467,4631
M_cardboardbox_30,DA-V2,55,20.325,4669
M_cardboardbox_30,DA-V2,75,14.798,54
M_cardboardbox_30,DA-V2,95,36.970,4449
M_cardboardbox_30,DA-V2 GT,25,72.903,4631
M_cardboardbox_30,DA-V2 GT,55,3.948,4669
M_cardboardbox_30,DA-V2 GT,75,6.495,54
M_cardboardbox_30,DA-V2 GT,95,2.407,4449
M_cardboardbox_30,Foundation,25,60.324,4631
M_cardboardbox_30,Foundation,55,21.709,4669
M_cardboardbox_30,Foundation,75,23.881,54
M_cardboardbox_30,Foundation,95,36.858,4449
S_cardboard_box,OpenCV,25,34.015,2348
S_cardboard_box,OpenCV,55,4.289,421
S_cardboard_box,OpenCV,75,16.002,16
S_cardboard_box,OpenCV,95,35.192,438
S_cardboard_box,DA-V2,25,60.862,2348
S_cardboard_box,DA-V2,55,39.601,421
S_cardboard_box,DA-V2,75,22.615,16
S_cardboard_box,DA-V2,95,11.850,438
S_cardboard_box,DA-V2 GT,25,78.195,2348
S_cardboard_box,DA-V2 GT,55,11.395,421
S_cardboard_box,DA-V2 GT,75,0.668,16
S_cardboard_box,DA-V2 GT,95,1.805,362
S_cardboard_box,Foundation,25,73.689,2348
S_cardboard_box,Foundation,55,40.018,421
S_cardboard_box,Foundation,75,31.949,16
S_cardboard_box,Foundation,95,8.409,438
S_cardboard_box_30,OpenCV,25,61.246,419
S_cardboard_box_30,OpenCV,55,4.351,6
S_cardboard_box_30,OpenCV,75,97.492,383
S_cardboard_box_30,OpenCV,95,54.972,116
S_cardboard_box_30,DA-V2,25,60.702,419
S_cardboard_box_30,DA-V2,55,28.503,6
S_cardboard_box_30,DA-V2,75,30.184,383
S_cardboard_box_30,DA-V2,95,9.928,116
S_cardboard_box_30,DA-V2 GT,25,74.584,419
S_cardboard_box_30,DA-V2 GT,55,5.761,6
S_cardboard_box_30,DA-V2 GT,75,13.497,383
S_cardboard_box_30,DA-V2 GT,95,0.683,116
