angle_degrees,distance_meters,quality
4.062500000000000000e-01,1.732499999999999873e-01,5.100000000000000000e+01
1.250000000000000000e+00,1.744999999999999885e-01,5.100000000000000000e+01
2.093750000000000000e+00,1.744999999999999885e-01,5.200000000000000000e+01
2.937500000000000000e+00,1.742499999999999882e-01,5.100000000000000000e+01
3.750000000000000000e+00,1.744999999999999885e-01,5.200000000000000000e+01
4.593750000000000000e+00,1.749999999999999889e-01,5.200000000000000000e+01
5.421875000000000000e+00,1.759999999999999898e-01,5.200000000000000000e+01
6.265625000000000000e+00,1.772499999999999909e-01,5.000000000000000000e+01
7.140625000000000000e+00,1.754999999999999893e-01,3.600000000000000000e+01
7.984375000000000000e+00,1.722499999999999865e-01,2.800000000000000000e+01
8.828125000000000000e+00,1.729999999999999871e-01,2.400000000000000000e+01
9.671875000000000000e+00,1.737499999999999878e-01,1.800000000000000000e+01
1.051562500000000000e+01,1.724999999999999867e-01,1.400000000000000000e+01
1.135937500000000000e+01,1.732499999999999873e-01,1.200000000000000000e+01
1.220312500000000000e+01,1.744999999999999885e-01,1.100000000000000000e+01
1.304687500000000000e+01,1.754999999999999893e-01,2.400000000000000000e+01
1.495312500000000000e+01,1.880000000000000004e-01,5.000000000000000000e+01
1.582812500000000000e+01,1.892500000000000016e-01,5.000000000000000000e+01
1.671875000000000000e+01,1.900000000000000022e-01,5.000000000000000000e+01
1.748437500000000000e+01,1.912500000000000033e-01,5.000000000000000000e+01
1.834375000000000000e+01,1.915000000000000036e-01,4.900000000000000000e+01
1.918750000000000000e+01,1.922500000000000042e-01,4.700000000000000000e+01
2.089062500000000000e+01,1.857499999999999984e-01,1.600000000000000000e+01
2.175000000000000000e+01,1.885000000000000009e-01,1.000000000000000000e+01
1.020781250000000000e+02,4.574999999999999900e-02,4.000000000000000000e+01
1.046875000000000000e+02,5.600000000000000117e-02,5.300000000000000000e+01
1.054531250000000000e+02,5.700000000000000205e-02,5.500000000000000000e+01
1.062968750000000000e+02,5.775000000000000272e-02,5.500000000000000000e+01
1.088593750000000000e+02,5.050000000000000322e-02,5.200000000000000000e+01
1.097187500000000000e+02,4.950000000000000233e-02,5.100000000000000000e+01
1.105625000000000000e+02,4.925000000000000211e-02,5.100000000000000000e+01
1.122343750000000000e+02,4.524999999999999856e-02,5.000000000000000000e+01
1.130781250000000000e+02,4.449999999999999789e-02,4.900000000000000000e+01
1.147656250000000000e+02,4.175000000000000239e-02,4.900000000000000000e+01
1.156406250000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.165000000000000000e+02,4.100000000000000172e-02,4.800000000000000000e+01
1.173437500000000000e+02,4.150000000000000216e-02,4.900000000000000000e+01
1.190468750000000000e+02,4.075000000000000150e-02,4.900000000000000000e+01
1.199062500000000000e+02,4.075000000000000150e-02,4.900000000000000000e+01
1.216093750000000000e+02,4.299999999999999656e-02,5.000000000000000000e+01
1.222812500000000000e+02,4.299999999999999656e-02,5.000000000000000000e+01
1.238906250000000000e+02,4.499999999999999833e-02,5.200000000000000000e+01
1.247031250000000000e+02,4.499999999999999833e-02,5.200000000000000000e+01
1.256718750000000000e+02,4.499999999999999833e-02,5.200000000000000000e+01
1.265156250000000000e+02,4.449999999999999789e-02,5.200000000000000000e+01
1.282031250000000000e+02,4.225000000000000283e-02,5.100000000000000000e+01
1.315312500000000000e+02,2.699999999999999969e-02,4.100000000000000000e+01
1.332500000000000000e+02,2.324999999999999983e-02,4.000000000000000000e+01
1.357656250000000000e+02,2.525000000000000161e-02,4.200000000000000000e+01
1.402031250000000000e+02,3.250000000000000111e-02,4.800000000000000000e+01
1.419687500000000000e+02,3.624999999999999750e-02,5.000000000000000000e+01
1.427812500000000000e+02,3.649999999999999772e-02,5.200000000000000000e+01
1.436562500000000000e+02,3.799999999999999906e-02,5.300000000000000000e+01
1.445156250000000000e+02,3.849999999999999950e-02,5.400000000000000000e+01
1.453906250000000000e+02,3.874999999999999972e-02,5.500000000000000000e+01
1.461093750000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.469375000000000000e+02,3.899999999999999994e-02,5.600000000000000000e+01
1.477656250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.485937500000000000e+02,3.824999999999999928e-02,5.700000000000000000e+01
1.495312500000000000e+02,3.799999999999999906e-02,5.700000000000000000e+01
1.503906250000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.512343750000000000e+02,3.699999999999999817e-02,5.700000000000000000e+01
1.520937500000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.529062500000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.537500000000000000e+02,3.774999999999999883e-02,5.700000000000000000e+01
1.545937500000000000e+02,3.824999999999999928e-02,5.600000000000000000e+01
1.554375000000000000e+02,3.849999999999999950e-02,5.600000000000000000e+01
