angle_degrees,distance_meters,quality
3.572656250000000000e+02,9.617499999999999938e-01,2.800000000000000000e+01
1.485312500000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.493125000000000000e+02,3.874999999999999972e-02,5.700000000000000000e+01
1.516718750000000000e+02,3.824999999999999928e-02,5.700000000000000000e+01
1.524531250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.540000000000000000e+02,3.824999999999999928e-02,5.700000000000000000e+01
1.547812500000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.563281250000000000e+02,3.950000000000000039e-02,5.600000000000000000e+01
1.572656250000000000e+02,4.000000000000000083e-02,5.500000000000000000e+01
1.588906250000000000e+02,3.849999999999999950e-02,5.400000000000000000e+01
1.597031250000000000e+02,3.824999999999999928e-02,5.300000000000000000e+01
1.604218750000000000e+02,3.724999999999999839e-02,5.200000000000000000e+01
1.612187500000000000e+02,3.699999999999999817e-02,5.100000000000000000e+01
1.620000000000000000e+02,3.624999999999999750e-02,5.000000000000000000e+01
1.643437500000000000e+02,2.949999999999999845e-02,4.400000000000000000e+01
1.675156250000000000e+02,2.125000000000000153e-02,3.500000000000000000e+01
1.682968750000000000e+02,2.174999999999999850e-02,3.400000000000000000e+01
1.690937500000000000e+02,2.125000000000000153e-02,3.200000000000000000e+01
1.698906250000000000e+02,2.149999999999999828e-02,3.300000000000000000e+01
1.706875000000000000e+02,2.199999999999999872e-02,3.200000000000000000e+01
1.714687500000000000e+02,2.174999999999999850e-02,3.200000000000000000e+01
1.722656250000000000e+02,2.174999999999999850e-02,3.100000000000000000e+01
1.730156250000000000e+02,2.174999999999999850e-02,3.000000000000000000e+01
1.753593750000000000e+02,2.050000000000000086e-02,3.100000000000000000e+01
1.778906250000000000e+02,2.149999999999999828e-02,3.400000000000000000e+01
1.809687500000000000e+02,2.050000000000000086e-02,3.500000000000000000e+01
1.817500000000000000e+02,2.025000000000000064e-02,3.600000000000000000e+01
1.825937500000000000e+02,2.050000000000000086e-02,3.600000000000000000e+01
1.849843750000000000e+02,2.025000000000000064e-02,3.600000000000000000e+01
1.865625000000000000e+02,2.199999999999999872e-02,3.800000000000000000e+01
1.873437500000000000e+02,2.224999999999999895e-02,3.900000000000000000e+01
1.881406250000000000e+02,2.224999999999999895e-02,4.000000000000000000e+01
1.932968750000000000e+02,3.674999999999999795e-02,5.100000000000000000e+01
1.950468750000000000e+02,3.950000000000000039e-02,5.400000000000000000e+01
1.956093750000000000e+02,4.100000000000000172e-02,5.600000000000000000e+01
