angle_degrees,distance_meters,quality
3.585937500000000000e+02,4.022499999999999964e-01,1.100000000000000000e+01
1.528125000000000000e+02,2.199999999999999872e-02,4.500000000000000000e+01
1.536093750000000000e+02,2.199999999999999872e-02,4.500000000000000000e+01
1.543750000000000000e+02,2.174999999999999850e-02,4.500000000000000000e+01
1.559375000000000000e+02,2.425000000000000072e-02,4.500000000000000000e+01
1.567187500000000000e+02,2.375000000000000028e-02,4.500000000000000000e+01
1.576875000000000000e+02,2.375000000000000028e-02,4.500000000000000000e+01
1.585156250000000000e+02,2.425000000000000072e-02,4.500000000000000000e+01
1.593437500000000000e+02,2.475000000000000117e-02,4.500000000000000000e+01
1.601718750000000000e+02,2.574999999999999858e-02,4.400000000000000000e+01
1.616406250000000000e+02,2.549999999999999836e-02,4.400000000000000000e+01
1.624218750000000000e+02,2.574999999999999858e-02,4.400000000000000000e+01
1.632187500000000000e+02,2.549999999999999836e-02,4.400000000000000000e+01
1.648281250000000000e+02,2.699999999999999969e-02,4.300000000000000000e+01
1.656250000000000000e+02,2.699999999999999969e-02,4.200000000000000000e+01
1.688125000000000000e+02,2.549999999999999836e-02,3.800000000000000000e+01
1.696093750000000000e+02,2.549999999999999836e-02,3.800000000000000000e+01
1.703750000000000000e+02,2.525000000000000161e-02,3.700000000000000000e+01
1.711718750000000000e+02,2.525000000000000161e-02,3.600000000000000000e+01
1.727500000000000000e+02,2.375000000000000028e-02,3.500000000000000000e+01
1.736718750000000000e+02,2.299999999999999961e-02,3.600000000000000000e+01
1.745000000000000000e+02,2.324999999999999983e-02,3.500000000000000000e+01
1.753125000000000000e+02,2.299999999999999961e-02,3.700000000000000000e+01
1.776250000000000000e+02,2.299999999999999961e-02,3.800000000000000000e+01
1.800312500000000000e+02,2.224999999999999895e-02,3.900000000000000000e+01
1.824218750000000000e+02,2.224999999999999895e-02,3.900000000000000000e+01
1.832031250000000000e+02,2.249999999999999917e-02,3.900000000000000000e+01
1.840000000000000000e+02,2.324999999999999983e-02,3.900000000000000000e+01
1.864062500000000000e+02,2.400000000000000050e-02,3.900000000000000000e+01
1.895781250000000000e+02,2.674999999999999947e-02,4.300000000000000000e+01
1.903750000000000000e+02,2.649999999999999925e-02,4.300000000000000000e+01
1.919531250000000000e+02,2.925000000000000169e-02,4.500000000000000000e+01
