angle_degrees,distance_meters,quality
3.576718750000000000e+02,2.469999999999999973e-01,1.700000000000000000e+01
2.792812500000000000e+02,9.985000000000000542e-01,1.000000000000000000e+01
2.818281250000000000e+02,7.930000000000000382e-01,8.000000000000000000e+00
2.870156250000000000e+02,4.829999999999999849e-01,1.000000000000000000e+01
2.878437500000000000e+02,4.759999999999999787e-01,1.000000000000000000e+01
2.887031250000000000e+02,4.665000000000000258e-01,1.000000000000000000e+01
2.895468750000000000e+02,4.580000000000000182e-01,1.200000000000000000e+01
2.904062500000000000e+02,4.527499999999999858e-01,1.000000000000000000e+01
2.912500000000000000e+02,4.462499999999999800e-01,1.000000000000000000e+01
2.921093750000000000e+02,4.430000000000000049e-01,1.100000000000000000e+01
2.938125000000000000e+02,4.229999999999999871e-01,1.100000000000000000e+01
2.955312500000000000e+02,4.035000000000000253e-01,1.100000000000000000e+01
2.963750000000000000e+02,3.980000000000000204e-01,1.200000000000000000e+01
2.972343750000000000e+02,3.930000000000000160e-01,1.100000000000000000e+01
2.980625000000000000e+02,3.865000000000000102e-01,1.200000000000000000e+01
2.989062500000000000e+02,3.835000000000000075e-01,1.200000000000000000e+01
3.005937500000000000e+02,3.644999999999999907e-01,1.200000000000000000e+01
3.015937500000000000e+02,3.599999999999999867e-01,1.000000000000000000e+01
3.050156250000000000e+02,2.889999999999999791e-01,1.000000000000000000e+01
3.058750000000000000e+02,2.844999999999999751e-01,1.100000000000000000e+01
3.067187500000000000e+02,2.834999999999999742e-01,1.100000000000000000e+01
3.084218750000000000e+02,2.745000000000000218e-01,1.200000000000000000e+01
3.092812500000000000e+02,2.765000000000000235e-01,1.100000000000000000e+01
3.101250000000000000e+02,2.745000000000000218e-01,1.200000000000000000e+01
3.109843750000000000e+02,2.690000000000000169e-01,1.100000000000000000e+01
3.118750000000000000e+02,2.667499999999999871e-01,1.100000000000000000e+01
3.127343750000000000e+02,2.642499999999999849e-01,1.100000000000000000e+01
3.144531250000000000e+02,2.449999999999999956e-01,1.000000000000000000e+01
3.152812500000000000e+02,2.437499999999999944e-01,1.000000000000000000e+01
3.161406250000000000e+02,2.432499999999999940e-01,1.100000000000000000e+01
3.169843750000000000e+02,2.399999999999999911e-01,1.200000000000000000e+01
3.178437500000000000e+02,2.394999999999999907e-01,1.200000000000000000e+01
3.196406250000000000e+02,2.285000000000000087e-01,1.100000000000000000e+01
3.205000000000000000e+02,2.290000000000000091e-01,1.300000000000000000e+01
3.221875000000000000e+02,2.174999999999999989e-01,1.300000000000000000e+01
3.230468750000000000e+02,2.169999999999999984e-01,1.300000000000000000e+01
3.265000000000000000e+02,2.049999999999999878e-01,1.300000000000000000e+01
3.273593750000000000e+02,2.015000000000000124e-01,1.200000000000000000e+01
3.282187500000000000e+02,2.010000000000000120e-01,1.200000000000000000e+01
3.290625000000000000e+02,2.000000000000000111e-01,1.300000000000000000e+01
3.307656250000000000e+02,1.905000000000000027e-01,1.300000000000000000e+01
3.333750000000000000e+02,1.895000000000000018e-01,1.300000000000000000e+01
3.342343750000000000e+02,1.910000000000000031e-01,1.400000000000000000e+01
3.360312500000000000e+02,1.779999999999999916e-01,1.500000000000000000e+01
3.403750000000000000e+02,2.379999999999999893e-01,1.900000000000000000e+01
3.412343750000000000e+02,2.354999999999999871e-01,2.300000000000000000e+01
3.421093750000000000e+02,2.349999999999999867e-01,2.500000000000000000e+01
3.429375000000000000e+02,2.352499999999999869e-01,2.600000000000000000e+01
3.446562500000000000e+02,2.290000000000000091e-01,2.000000000000000000e+01
3.455156250000000000e+02,2.300000000000000100e-01,2.000000000000000000e+01
3.464062500000000000e+02,2.300000000000000100e-01,1.900000000000000000e+01
3.472812500000000000e+02,2.290000000000000091e-01,1.900000000000000000e+01
3.481406250000000000e+02,2.285000000000000087e-01,1.800000000000000000e+01
3.490156250000000000e+02,2.270000000000000073e-01,1.900000000000000000e+01
3.498750000000000000e+02,2.280000000000000082e-01,1.800000000000000000e+01
3.507500000000000000e+02,2.320000000000000118e-01,2.100000000000000000e+01
3.516093750000000000e+02,2.335000000000000131e-01,2.000000000000000000e+01
3.524843750000000000e+02,2.320000000000000118e-01,1.700000000000000000e+01
3.533593750000000000e+02,2.335000000000000131e-01,1.700000000000000000e+01
3.542343750000000000e+02,2.359999999999999876e-01,1.900000000000000000e+01
3.567968750000000000e+02,2.344999999999999862e-01,1.600000000000000000e+01
3.576562500000000000e+02,2.340000000000000135e-01,1.700000000000000000e+01
3.585156250000000000e+02,2.349999999999999867e-01,1.800000000000000000e+01
3.593750000000000000e+02,2.369999999999999885e-01,1.800000000000000000e+01
